dataset,donor,disease,tissue,subtype,n_cells,n_secretory_candidates,median_ig_fraction,n_classified_secretory,proportion_of_candidates,proportion_of_classified,proportion
GSE276503,CRSNP41,CRSwNP,Nasal_polyp,Surface_club,2,2753,0.0008077936553245447,2750,0.000726480203414457,0.0007272727272727272,0.0007272727272727272
GSE276503,CRSNP41,CRSwNP,Nasal_polyp,Transitional_secretory,1506,2753,0.00033283410781479047,2750,0.5470395931710861,0.5476363636363636,0.5476363636363636
GSE276503,CRSNP42,CRSwNP,Nasal_polyp,Ambiguous_secretory,270,3055,0.0002769508795409983,3051,0.088379705400982,0.08849557522123894,0.08849557522123894
GSE276503,CRSNP42,CRSwNP,Nasal_polyp,Goblet,4,3055,0.0006263862681534613,3051,0.001309328968903437,0.0013110455588331695,0.0013110455588331695
GSE276503,CRSNP42,CRSwNP,Nasal_polyp,Inflammatory_secretory,518,3055,0.0002631511642652262,3051,0.16955810147299508,0.16978039986889545,0.16978039986889545
GSE276503,CRSNP42,CRSwNP,Nasal_polyp,Mucous_glandular,3,3055,0.00029120559114735004,3051,0.0009819967266775777,0.0009832841691248771,0.0009832841691248771
GSE276503,CRSNP42,CRSwNP,Nasal_polyp,Serous_glandular,531,3055,0.00029115714166874635,3051,0.17381342062193125,0.17404129793510326,0.17404129793510326
GSE276503,CRSNP42,CRSwNP,Nasal_polyp,Surface_club,7,3055,0.0002863278453829635,3051,0.0022913256955810145,0.0022943297279580466,0.0022943297279580466
GSE276503,CRSNP42,CRSwNP,Nasal_polyp,Transitional_secretory,1718,3055,0.00027243008526675735,3051,0.5623567921440262,0.5630940675188463,0.5630940675188463
GSE276503,CRSNP43,CRSwNP,Nasal_polyp,Ambiguous_secretory,64,1690,0.0014087621194210853,1688,0.0378698224852071,0.037914691943127965,0.037914691943127965
GSE276503,CRSNP43,CRSwNP,Nasal_polyp,Goblet,15,1690,0.0014993244801792599,1688,0.008875739644970414,0.008886255924170616,0.008886255924170616
GSE276503,CRSNP43,CRSwNP,Nasal_polyp,Inflammatory_secretory,30,1690,0.001269750083257904,1688,0.01775147928994083,0.017772511848341232,0.017772511848341232
GSE276503,CRSNP43,CRSwNP,Nasal_polyp,Mucous_glandular,1,1690,0.0012875536480686696,1688,0.000591715976331361,0.0005924170616113745,0.0005924170616113745
GSE276503,CRSNP43,CRSwNP,Nasal_polyp,Serous_glandular,557,1690,0.0014332123065163387,1688,0.329585798816568,0.3299763033175355,0.3299763033175355
GSE276503,CRSNP43,CRSwNP,Nasal_polyp,Surface_club,9,1690,0.0016363264471262017,1688,0.0053254437869822485,0.00533175355450237,0.00533175355450237
GSE276503,CRSNP43,CRSwNP,Nasal_polyp,Transitional_secretory,1012,1690,0.0012552289003192692,1688,0.5988165680473373,0.5995260663507109,0.5995260663507109
GSE276503,CRSNP44,CRSwNP,Nasal_polyp,Ambiguous_secretory,64,1558,0.0014276016032973083,1557,0.0410783055198973,0.04110468850353243,0.04110468850353243
GSE276503,CRSNP44,CRSwNP,Nasal_polyp,Goblet,2,1558,0.0018538327765892232,1557,0.0012836970474967907,0.0012845215157353885,0.0012845215157353885
GSE276503,CRSNP44,CRSwNP,Nasal_polyp,Inflammatory_secretory,20,1558,0.0012551562856658476,1557,0.012836970474967908,0.012845215157353885,0.012845215157353885
GSE276503,CRSNP44,CRSwNP,Nasal_polyp,Mucous_glandular,1,1558,0.0027247956403269754,1557,0.0006418485237483953,0.0006422607578676942,0.0006422607578676942
GSE276503,CRSNP44,CRSwNP,Nasal_polyp,Serous_glandular,508,1558,0.0012871345721387146,1557,0.32605905006418484,0.3262684649967887,0.3262684649967887
GSE276503,CRSNP44,CRSwNP,Nasal_polyp,Surface_club,1,1558,0.00138071797334614,1557,0.0006418485237483953,0.0006422607578676942,0.0006422607578676942
GSE276503,CRSNP44,CRSwNP,Nasal_polyp,Transitional_secretory,961,1558,0.0011064075428131614,1557,0.616816431322208,0.6172125883108542,0.6172125883108542
GSE276503,CRSNP45,CRSwNP,Nasal_polyp,Ambiguous_secretory,68,1469,0.001110578081591747,1469,0.04628999319264806,0.04628999319264806,0.04628999319264806
GSE276503,CRSNP45,CRSwNP,Nasal_polyp,Goblet,4,1469,0.0043082414603289355,1469,0.002722940776038121,0.002722940776038121,0.002722940776038121
GSE276503,CRSNP45,CRSwNP,Nasal_polyp,Inflammatory_secretory,30,1469,0.001014908949129866,1469,0.02042205582028591,0.02042205582028591,0.02042205582028591
GSE276503,CRSNP45,CRSwNP,Nasal_polyp,Mucous_glandular,0,1469,,1469,0.0,0.0,0.0
GSE276503,CRSNP45,CRSwNP,Nasal_polyp,Serous_glandular,537,1469,0.0011719894520949312,1469,0.3655547991831178,0.3655547991831178,0.3655547991831178
GSE276503,CRSNP45,CRSwNP,Nasal_polyp,Surface_club,5,1469,0.0017262213015708614,1469,0.0034036759700476512,0.0034036759700476512,0.0034036759700476512
GSE276503,CRSNP45,CRSwNP,Nasal_polyp,Transitional_secretory,825,1469,0.0009411553802715905,1469,0.5616065350578625,0.5616065350578625,0.5616065350578625
GSE276503,HCIT01,Healthy,Inferior_turbinate,Ambiguous_secretory,148,3122,0.0,3122,0.04740550928891736,0.04740550928891736,0.04740550928891736
GSE276503,HCIT01,Healthy,Inferior_turbinate,Goblet,5,3122,0.0,3122,0.0016015374759769379,0.0016015374759769379,0.0016015374759769379
GSE276503,HCIT01,Healthy,Inferior_turbinate,Inflammatory_secretory,25,3122,0.0,3122,0.008007687379884689,0.008007687379884689,0.008007687379884689
GSE276503,HCIT01,Healthy,Inferior_turbinate,Mucous_glandular,34,3122,0.0,3122,0.010890454836643177,0.010890454836643177,0.010890454836643177
GSE276503,HCIT01,Healthy,Inferior_turbinate,Serous_glandular,2441,3122,0.0,3122,0.7818705957719411,0.7818705957719411,0.7818705957719411
GSE276503,HCIT01,Healthy,Inferior_turbinate,Surface_club,27,3122,0.0,3122,0.008648302370275465,0.008648302370275465,0.008648302370275465
GSE276503,HCIT01,Healthy,Inferior_turbinate,Transitional_secretory,442,3122,2.7684463078370644e-05,3122,0.14157591287636132,0.14157591287636132,0.14157591287636132
GSE276503,HCIT02,Healthy,Inferior_turbinate,Ambiguous_secretory,142,2829,2.8499836622647146e-05,2829,0.05019441498762814,0.05019441498762814,0.05019441498762814
GSE276503,HCIT02,Healthy,Inferior_turbinate,Goblet,46,2829,3.977063497591891e-05,2829,0.016260162601626018,0.016260162601626018,0.016260162601626018
GSE276503,HCIT02,Healthy,Inferior_turbinate,Inflammatory_secretory,37,2829,0.0,2829,0.013078826440438318,0.013078826440438318,0.013078826440438318
GSE276503,HCIT02,Healthy,Inferior_turbinate,Mucous_glandular,42,2829,0.0,2829,0.014846235418875928,0.014846235418875928,0.014846235418875928
GSE276503,HCIT02,Healthy,Inferior_turbinate,Serous_glandular,2070,2829,0.0,2829,0.7317073170731707,0.7317073170731707,0.7317073170731707
GSE276503,HCIT02,Healthy,Inferior_turbinate,Surface_club,33,2829,2.703287197231834e-05,2829,0.01166489925768823,0.01166489925768823,0.01166489925768823
GSE276503,HCIT02,Healthy,Inferior_turbinate,Transitional_secretory,459,2829,3.1427763286086926e-05,2829,0.16224814422057265,0.16224814422057265,0.16224814422057265
