dataset,donor,disease,tissue,subtype,n_cells,n_secretory_candidates,median_ig_fraction,n_classified_secretory,proportion_of_candidates,proportion_of_classified,proportion
GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Mucous_glandular,5,202,3.279279870140517e-05,202,0.024752475247524754,0.024752475247524754,0.024752475247524754
GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Serous_glandular,129,202,0.0,202,0.6386138613861386,0.6386138613861386,0.6386138613861386
GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Surface_club,0,202,,202,0.0,0.0,0.0
GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Transitional_secretory,33,202,0.0,202,0.16336633663366337,0.16336633663366337,0.16336633663366337
GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Ambiguous_secretory,21,354,0.0,354,0.059322033898305086,0.059322033898305086,0.059322033898305086
GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Goblet,3,354,0.0001026167265264238,354,0.00847457627118644,0.00847457627118644,0.00847457627118644
GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Inflammatory_secretory,211,354,2.939188196220204e-05,354,0.596045197740113,0.596045197740113,0.596045197740113
GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Mucous_glandular,0,354,,354,0.0,0.0,0.0
GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Serous_glandular,64,354,2.354457766378381e-05,354,0.1807909604519774,0.1807909604519774,0.1807909604519774
GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Surface_club,2,354,0.00025407961733024724,354,0.005649717514124294,0.005649717514124294,0.005649717514124294
GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Transitional_secretory,53,354,0.0,354,0.1497175141242938,0.1497175141242938,0.1497175141242938
GSE235711,HC_1,Healthy,Ethmoid,Ambiguous_secretory,137,2442,0.0,2442,0.0561015561015561,0.0561015561015561,0.0561015561015561
GSE235711,HC_1,Healthy,Ethmoid,Goblet,5,2442,0.0,2442,0.0020475020475020475,0.0020475020475020475,0.0020475020475020475
GSE235711,HC_1,Healthy,Ethmoid,Inflammatory_secretory,32,2442,0.0,2442,0.013104013104013105,0.013104013104013105,0.013104013104013105
GSE235711,HC_1,Healthy,Ethmoid,Mucous_glandular,7,2442,0.0,2442,0.0028665028665028664,0.0028665028665028664,0.0028665028665028664
GSE235711,HC_1,Healthy,Ethmoid,Serous_glandular,1847,2442,0.0,2442,0.7563472563472563,0.7563472563472563,0.7563472563472563
GSE235711,HC_1,Healthy,Ethmoid,Surface_club,109,2442,0.0,2442,0.04463554463554464,0.04463554463554464,0.04463554463554464
GSE235711,HC_1,Healthy,Ethmoid,Transitional_secretory,305,2442,0.0,2442,0.1248976248976249,0.1248976248976249,0.1248976248976249
GSE235711,HC_2,Healthy,Ethmoid,Ambiguous_secretory,52,1064,0.0,1063,0.04887218045112782,0.04891815616180621,0.04891815616180621
GSE235711,HC_2,Healthy,Ethmoid,Goblet,10,1064,0.0,1063,0.009398496240601503,0.00940733772342427,0.00940733772342427
GSE235711,HC_2,Healthy,Ethmoid,Inflammatory_secretory,8,1064,0.0,1063,0.007518796992481203,0.007525870178739417,0.007525870178739417
GSE235711,HC_2,Healthy,Ethmoid,Mucous_glandular,16,1064,6.694471036371061e-06,1063,0.015037593984962405,0.015051740357478834,0.015051740357478834
GSE235711,HC_2,Healthy,Ethmoid,Serous_glandular,792,1064,0.0,1063,0.7443609022556391,0.7450611476952023,0.7450611476952023
GSE235711,HC_2,Healthy,Ethmoid,Surface_club,60,1064,0.0,1063,0.05639097744360902,0.05644402634054563,0.05644402634054563
GSE235711,HC_2,Healthy,Ethmoid,Transitional_secretory,125,1064,0.0,1063,0.1174812030075188,0.11759172154280338,0.11759172154280338
GSE235711,HC_3,Healthy,Ethmoid,Ambiguous_secretory,44,1009,0.0,1009,0.04360753221010902,0.04360753221010902,0.04360753221010902
GSE235711,HC_3,Healthy,Ethmoid,Goblet,4,1009,0.00031486146095717883,1009,0.003964321110009911,0.003964321110009911,0.003964321110009911
GSE235711,HC_3,Healthy,Ethmoid,Inflammatory_secretory,14,1009,5.246589716684155e-05,1009,0.013875123885034688,0.013875123885034688,0.013875123885034688
GSE235711,HC_3,Healthy,Ethmoid,Mucous_glandular,13,1009,0.0,1009,0.01288404360753221,0.01288404360753221,0.01288404360753221
GSE235711,HC_3,Healthy,Ethmoid,Serous_glandular,680,1009,0.0,1009,0.6739345887016849,0.6739345887016849,0.6739345887016849
GSE235711,HC_3,Healthy,Ethmoid,Surface_club,17,1009,0.0,1009,0.01684836471754212,0.01684836471754212,0.01684836471754212
GSE235711,HC_3,Healthy,Ethmoid,Transitional_secretory,237,1009,0.0,1009,0.2348860257680872,0.2348860257680872,0.2348860257680872
GSE235711,HC_4,Healthy,Ethmoid,Ambiguous_secretory,29,1022,0.00013544018058690745,1021,0.02837573385518591,0.02840352595494613,0.02840352595494613
GSE235711,HC_4,Healthy,Ethmoid,Goblet,4,1022,0.0001482799525504152,1021,0.003913894324853229,0.0039177277179236044,0.0039177277179236044
GSE235711,HC_4,Healthy,Ethmoid,Inflammatory_secretory,3,1022,0.0,1021,0.0029354207436399216,0.002938295788442703,0.002938295788442703
GSE235711,HC_4,Healthy,Ethmoid,Mucous_glandular,38,1022,8.645154656226846e-05,1021,0.03718199608610567,0.03721841332027424,0.03721841332027424
GSE235711,HC_4,Healthy,Ethmoid,Serous_glandular,816,1022,7.312213343873037e-05,1021,0.7984344422700587,0.7992164544564153,0.7992164544564153
GSE235711,HC_4,Healthy,Ethmoid,Surface_club,46,1022,0.0,1021,0.04500978473581213,0.04505386875612145,0.04505386875612145
GSE235711,HC_4,Healthy,Ethmoid,Transitional_secretory,85,1022,0.0,1021,0.08317025440313111,0.0832517140058766,0.0832517140058766
GSE235711,HC_5,Healthy,Ethmoid,Ambiguous_secretory,9,319,0.0,319,0.02821316614420063,0.02821316614420063,0.02821316614420063
GSE235711,HC_5,Healthy,Ethmoid,Goblet,3,319,0.0,319,0.009404388714733543,0.009404388714733543,0.009404388714733543
GSE235711,HC_5,Healthy,Ethmoid,Inflammatory_secretory,0,319,,319,0.0,0.0,0.0
GSE235711,HC_5,Healthy,Ethmoid,Mucous_glandular,8,319,0.0,319,0.025078369905956112,0.025078369905956112,0.025078369905956112
GSE235711,HC_5,Healthy,Ethmoid,Serous_glandular,242,319,0.0,319,0.7586206896551724,0.7586206896551724,0.7586206896551724
GSE235711,HC_5,Healthy,Ethmoid,Surface_club,25,319,0.0,319,0.07836990595611286,0.07836990595611286,0.07836990595611286
GSE235711,HC_5,Healthy,Ethmoid,Transitional_secretory,32,319,0.0,319,0.10031347962382445,0.10031347962382445,0.10031347962382445
GSE261706,AR1,AR,Inferior_turbinate,Ambiguous_secretory,436,8789,0.0,8789,0.04960746387529867,0.04960746387529867,0.04960746387529867
GSE261706,AR1,AR,Inferior_turbinate,Goblet,76,8789,0.0,8789,0.008647172602116282,0.008647172602116282,0.008647172602116282
GSE261706,AR1,AR,Inferior_turbinate,Inflammatory_secretory,85,8789,0.0,8789,0.009671179883945842,0.009671179883945842,0.009671179883945842
GSE261706,AR1,AR,Inferior_turbinate,Mucous_glandular,212,8789,0.0,8789,0.024121060416429627,0.024121060416429627,0.024121060416429627
GSE261706,AR1,AR,Inferior_turbinate,Serous_glandular,3954,8789,0.0,8789,0.44988053248378657,0.44988053248378657,0.44988053248378657
GSE261706,AR1,AR,Inferior_turbinate,Surface_club,24,8789,0.0,8789,0.0027306860848788257,0.0027306860848788257,0.0027306860848788257
GSE261706,AR1,AR,Inferior_turbinate,Transitional_secretory,4002,8789,0.0,8789,0.4553419046535442,0.4553419046535442,0.4553419046535442
GSE261706,AR2,AR,Inferior_turbinate,Ambiguous_secretory,321,5407,0.0,5407,0.05936748659145552,0.05936748659145552,0.05936748659145552
GSE261706,AR2,AR,Inferior_turbinate,Goblet,142,5407,0.0,5407,0.026262252635472536,0.026262252635472536,0.026262252635472536
GSE261706,AR2,AR,Inferior_turbinate,Inflammatory_secretory,1917,5407,0.0,5407,0.35454041057887925,0.35454041057887925,0.35454041057887925
GSE261706,AR2,AR,Inferior_turbinate,Mucous_glandular,49,5407,0.0,5407,0.009062326613648974,0.009062326613648974,0.009062326613648974
GSE261706,AR2,AR,Inferior_turbinate,Serous_glandular,1272,5407,0.0,5407,0.23525060107268356,0.23525060107268356,0.23525060107268356
GSE261706,AR2,AR,Inferior_turbinate,Surface_club,7,5407,0.0,5407,0.0012946180876641392,0.0012946180876641392,0.0012946180876641392
GSE261706,AR2,AR,Inferior_turbinate,Transitional_secretory,1699,5407,0.0,5407,0.31422230442019605,0.31422230442019605,0.31422230442019605
GSE261706,CON1,Healthy,Inferior_turbinate,Ambiguous_secretory,96,3038,0.0,3038,0.031599736668861095,0.031599736668861095,0.031599736668861095
GSE261706,CON1,Healthy,Inferior_turbinate,Goblet,17,3038,0.0,3038,0.005595786701777485,0.005595786701777485,0.005595786701777485
GSE261706,CON1,Healthy,Inferior_turbinate,Inflammatory_secretory,15,3038,0.0,3038,0.004937458854509546,0.004937458854509546,0.004937458854509546
GSE261706,CON1,Healthy,Inferior_turbinate,Mucous_glandular,13,3038,0.0,3038,0.004279131007241606,0.004279131007241606,0.004279131007241606
GSE261706,CON1,Healthy,Inferior_turbinate,Serous_glandular,677,3038,0.0,3038,0.2228439763001975,0.2228439763001975,0.2228439763001975
GSE261706,CON1,Healthy,Inferior_turbinate,Surface_club,28,3038,0.0,3038,0.009216589861751152,0.009216589861751152,0.009216589861751152
GSE261706,CON1,Healthy,Inferior_turbinate,Transitional_secretory,2192,3038,0.0,3038,0.7215273206056616,0.7215273206056616,0.7215273206056616
GSE261706,CON2,Healthy,Inferior_turbinate,Ambiguous_secretory,625,9362,0.0,9362,0.06675923947874386,0.06675923947874386,0.06675923947874386
GSE261706,CON2,Healthy,Inferior_turbinate,Goblet,81,9362,0.0,9362,0.008651997436445204,0.008651997436445204,0.008651997436445204
GSE261706,CON2,Healthy,Inferior_turbinate,Inflammatory_secretory,83,9362,0.0,9362,0.008865627002777184,0.008865627002777184,0.008865627002777184
GSE261706,CON2,Healthy,Inferior_turbinate,Mucous_glandular,67,9362,0.0,9362,0.007156590472121342,0.007156590472121342,0.007156590472121342
GSE261706,CON2,Healthy,Inferior_turbinate,Serous_glandular,1850,9362,0.0,9362,0.1976073488570818,0.1976073488570818,0.1976073488570818
GSE261706,CON2,Healthy,Inferior_turbinate,Surface_club,744,9362,0.0,9362,0.07947019867549669,0.07947019867549669,0.07947019867549669
GSE261706,CON2,Healthy,Inferior_turbinate,Transitional_secretory,5912,9362,0.0,9362,0.6314889980773339,0.6314889980773339,0.6314889980773339
GSE276503,CRSIT12,CRSwNP,Inferior_turbinate,Ambiguous_secretory,161,3402,0.0,3402,0.047325102880658436,0.047325102880658436,0.047325102880658436
GSE276503,CRSIT12,CRSwNP,Inferior_turbinate,Goblet,17,3402,0.0,3402,0.0049970605526161085,0.0049970605526161085,0.0049970605526161085
GSE276503,CRSIT12,CRSwNP,Inferior_turbinate,Inflammatory_secretory,29,3402,0.0,3402,0.008524397413286302,0.008524397413286302,0.008524397413286302
GSE276503,CRSIT12,CRSwNP,Inferior_turbinate,Mucous_glandular,134,3402,0.0,3402,0.0393885949441505,0.0393885949441505,0.0393885949441505
GSE276503,CRSIT12,CRSwNP,Inferior_turbinate,Serous_glandular,1298,3402,0.0,3402,0.38154027042915933,0.38154027042915933,0.38154027042915933
GSE276503,CRSIT12,CRSwNP,Inferior_turbinate,Surface_club,12,3402,0.0,3402,0.003527336860670194,0.003527336860670194,0.003527336860670194
GSE276503,CRSIT12,CRSwNP,Inferior_turbinate,Transitional_secretory,1751,3402,0.0,3402,0.5146972369194591,0.5146972369194591,0.5146972369194591
GSE276503,CRSIT13,CRSwNP,Inferior_turbinate,Ambiguous_secretory,135,3705,0.0,3705,0.03643724696356275,0.03643724696356275,0.03643724696356275
GSE276503,CRSIT13,CRSwNP,Inferior_turbinate,Goblet,14,3705,0.0,3705,0.003778677462887989,0.003778677462887989,0.003778677462887989
GSE276503,CRSIT13,CRSwNP,Inferior_turbinate,Inflammatory_secretory,25,3705,0.0,3705,0.006747638326585695,0.006747638326585695,0.006747638326585695
GSE276503,CRSIT13,CRSwNP,Inferior_turbinate,Mucous_glandular,71,3705,0.0,3705,0.019163292847503375,0.019163292847503375,0.019163292847503375
GSE276503,CRSIT13,CRSwNP,Inferior_turbinate,Serous_glandular,1087,3705,0.0,3705,0.29338731443994603,0.29338731443994603,0.29338731443994603
GSE276503,CRSIT13,CRSwNP,Inferior_turbinate,Surface_club,3,3705,0.0,3705,0.0008097165991902834,0.0008097165991902834,0.0008097165991902834
GSE276503,CRSIT13,CRSwNP,Inferior_turbinate,Transitional_secretory,2370,3705,0.0,3705,0.6396761133603239,0.6396761133603239,0.6396761133603239
GSE276503,CRSIT16,CRSwNP,Inferior_turbinate,Ambiguous_secretory,23,1473,0.0,1473,0.015614392396469789,0.015614392396469789,0.015614392396469789
GSE276503,CRSIT16,CRSwNP,Inferior_turbinate,Goblet,3,1473,0.0,1473,0.002036659877800407,0.002036659877800407,0.002036659877800407
GSE276503,CRSIT16,CRSwNP,Inferior_turbinate,Inflammatory_secretory,24,1473,0.0,1473,0.016293279022403257,0.016293279022403257,0.016293279022403257
GSE276503,CRSIT16,CRSwNP,Inferior_turbinate,Mucous_glandular,76,1473,0.0,1473,0.051595383570943655,0.051595383570943655,0.051595383570943655
GSE276503,CRSIT16,CRSwNP,Inferior_turbinate,Serous_glandular,1114,1473,0.0,1473,0.7562797012898846,0.7562797012898846,0.7562797012898846
GSE276503,CRSIT16,CRSwNP,Inferior_turbinate,Surface_club,0,1473,,1473,0.0,0.0,0.0
GSE276503,CRSIT16,CRSwNP,Inferior_turbinate,Transitional_secretory,233,1473,0.0,1473,0.1581805838424983,0.1581805838424983,0.1581805838424983
GSE276503,CRSIT17,CRSwNP,Inferior_turbinate,Ambiguous_secretory,51,2126,0.0,2126,0.02398871119473189,0.02398871119473189,0.02398871119473189
GSE276503,CRSIT17,CRSwNP,Inferior_turbinate,Goblet,4,2126,0.0,2126,0.0018814675446848542,0.0018814675446848542,0.0018814675446848542
GSE276503,CRSIT17,CRSwNP,Inferior_turbinate,Inflammatory_secretory,1,2126,0.0002232142857142857,2126,0.00047036688617121356,0.00047036688617121356,0.00047036688617121356
GSE276503,CRSIT17,CRSwNP,Inferior_turbinate,Mucous_glandular,210,2126,0.0,2126,0.09877704609595485,0.09877704609595485,0.09877704609595485
GSE276503,CRSIT17,CRSwNP,Inferior_turbinate,Serous_glandular,1710,2126,0.0,2126,0.8043273753527752,0.8043273753527752,0.8043273753527752
GSE276503,CRSIT17,CRSwNP,Inferior_turbinate,Surface_club,0,2126,,2126,0.0,0.0,0.0
GSE276503,CRSIT17,CRSwNP,Inferior_turbinate,Transitional_secretory,150,2126,0.0,2126,0.07055503292568203,0.07055503292568203,0.07055503292568203
GSE276503,CRSIT18,CRSwNP,Inferior_turbinate,Ambiguous_secretory,48,1848,0.0,1848,0.025974025974025976,0.025974025974025976,0.025974025974025976
GSE276503,CRSIT18,CRSwNP,Inferior_turbinate,Goblet,2,1848,0.0,1848,0.0010822510822510823,0.0010822510822510823,0.0010822510822510823
GSE276503,CRSIT18,CRSwNP,Inferior_turbinate,Inflammatory_secretory,0,1848,,1848,0.0,0.0,0.0
GSE276503,CRSIT18,CRSwNP,Inferior_turbinate,Mucous_glandular,184,1848,0.0,1848,0.09956709956709957,0.09956709956709957,0.09956709956709957
GSE276503,CRSIT18,CRSwNP,Inferior_turbinate,Serous_glandular,1490,1848,0.0,1848,0.8062770562770563,0.8062770562770563,0.8062770562770563
GSE276503,CRSIT18,CRSwNP,Inferior_turbinate,Surface_club,1,1848,0.0,1848,0.0005411255411255411,0.0005411255411255411,0.0005411255411255411
GSE276503,CRSIT18,CRSwNP,Inferior_turbinate,Transitional_secretory,123,1848,0.0,1848,0.06655844155844155,0.06655844155844155,0.06655844155844155
GSE276503,CRSIT19,CRSwNP,Inferior_turbinate,Ambiguous_secretory,48,1334,0.0,1334,0.035982008995502246,0.035982008995502246,0.035982008995502246
GSE276503,CRSIT19,CRSwNP,Inferior_turbinate,Goblet,2,1334,0.00012447099825740602,1334,0.0014992503748125937,0.0014992503748125937,0.0014992503748125937
GSE276503,CRSIT19,CRSwNP,Inferior_turbinate,Inflammatory_secretory,0,1334,,1334,0.0,0.0,0.0
GSE276503,CRSIT19,CRSwNP,Inferior_turbinate,Mucous_glandular,170,1334,0.0,1334,0.12743628185907047,0.12743628185907047,0.12743628185907047
GSE276503,CRSIT19,CRSwNP,Inferior_turbinate,Serous_glandular,986,1334,0.0,1334,0.7391304347826086,0.7391304347826086,0.7391304347826086
GSE276503,CRSIT19,CRSwNP,Inferior_turbinate,Surface_club,0,1334,,1334,0.0,0.0,0.0
GSE276503,CRSIT19,CRSwNP,Inferior_turbinate,Transitional_secretory,128,1334,0.0,1334,0.095952023988006,0.095952023988006,0.095952023988006
GSE276503,CRSMT21,CRSwNP,Middle_turbinate,Ambiguous_secretory,52,3863,0.0,3863,0.013461040641988092,0.013461040641988092,0.013461040641988092
GSE276503,CRSMT21,CRSwNP,Middle_turbinate,Goblet,0,3863,,3863,0.0,0.0,0.0
GSE276503,CRSMT21,CRSwNP,Middle_turbinate,Inflammatory_secretory,13,3863,0.0,3863,0.003365260160497023,0.003365260160497023,0.003365260160497023
GSE276503,CRSMT21,CRSwNP,Middle_turbinate,Mucous_glandular,236,3863,0.0,3863,0.06109241522133057,0.06109241522133057,0.06109241522133057
GSE276503,CRSMT21,CRSwNP,Middle_turbinate,Serous_glandular,3383,3863,0.0,3863,0.8757442402278022,0.8757442402278022,0.8757442402278022
GSE276503,CRSMT21,CRSwNP,Middle_turbinate,Surface_club,0,3863,,3863,0.0,0.0,0.0
GSE276503,CRSMT21,CRSwNP,Middle_turbinate,Transitional_secretory,179,3863,0.0,3863,0.04633704374838209,0.04633704374838209,0.04633704374838209
GSE276503,CRSMT23,CRSwNP,Middle_turbinate,Ambiguous_secretory,17,295,0.0,295,0.0576271186440678,0.0576271186440678,0.0576271186440678
GSE276503,CRSMT23,CRSwNP,Middle_turbinate,Goblet,1,295,0.0,295,0.003389830508474576,0.003389830508474576,0.003389830508474576
GSE276503,CRSMT23,CRSwNP,Middle_turbinate,Inflammatory_secretory,25,295,0.0,295,0.0847457627118644,0.0847457627118644,0.0847457627118644
GSE276503,CRSMT23,CRSwNP,Middle_turbinate,Mucous_glandular,5,295,0.0,295,0.01694915254237288,0.01694915254237288,0.01694915254237288
GSE276503,CRSMT23,CRSwNP,Middle_turbinate,Serous_glandular,192,295,0.0,295,0.6508474576271186,0.6508474576271186,0.6508474576271186
GSE276503,CRSMT23,CRSwNP,Middle_turbinate,Surface_club,1,295,0.0,295,0.003389830508474576,0.003389830508474576,0.003389830508474576
GSE276503,CRSMT23,CRSwNP,Middle_turbinate,Transitional_secretory,54,295,0.0,295,0.18305084745762712,0.18305084745762712,0.18305084745762712
GSE276503,CRSMT24,CRSwNP,Middle_turbinate,Ambiguous_secretory,7,182,0.0,181,0.038461538461538464,0.03867403314917127,0.03867403314917127
GSE276503,CRSMT24,CRSwNP,Middle_turbinate,Goblet,1,182,0.0,181,0.005494505494505495,0.0055248618784530384,0.0055248618784530384
GSE276503,CRSMT24,CRSwNP,Middle_turbinate,Inflammatory_secretory,14,182,0.0,181,0.07692307692307693,0.07734806629834254,0.07734806629834254
GSE276503,CRSMT24,CRSwNP,Middle_turbinate,Mucous_glandular,11,182,0.0,181,0.06043956043956044,0.06077348066298342,0.06077348066298342
GSE276503,CRSMT24,CRSwNP,Middle_turbinate,Serous_glandular,111,182,0.0,181,0.6098901098901099,0.6132596685082873,0.6132596685082873
GSE276503,CRSMT24,CRSwNP,Middle_turbinate,Surface_club,3,182,0.0,181,0.016483516483516484,0.016574585635359115,0.016574585635359115
GSE276503,CRSMT24,CRSwNP,Middle_turbinate,Transitional_secretory,34,182,0.0,181,0.18681318681318682,0.1878453038674033,0.1878453038674033
GSE276503,CRSMT25,CRSwNP,Middle_turbinate,Ambiguous_secretory,76,2965,0.0,2965,0.025632377740303542,0.025632377740303542,0.025632377740303542
GSE276503,CRSMT25,CRSwNP,Middle_turbinate,Goblet,11,2965,0.0,2965,0.003709949409780776,0.003709949409780776,0.003709949409780776
GSE276503,CRSMT25,CRSwNP,Middle_turbinate,Inflammatory_secretory,11,2965,0.0,2965,0.003709949409780776,0.003709949409780776,0.003709949409780776
GSE276503,CRSMT25,CRSwNP,Middle_turbinate,Mucous_glandular,49,2965,0.0,2965,0.016526138279932545,0.016526138279932545,0.016526138279932545
GSE276503,CRSMT25,CRSwNP,Middle_turbinate,Serous_glandular,2557,2965,0.0,2965,0.8623946037099494,0.8623946037099494,0.8623946037099494
GSE276503,CRSMT25,CRSwNP,Middle_turbinate,Surface_club,1,2965,0.0,2965,0.0003372681281618887,0.0003372681281618887,0.0003372681281618887
GSE276503,CRSMT25,CRSwNP,Middle_turbinate,Transitional_secretory,260,2965,0.0,2965,0.08768971332209106,0.08768971332209106,0.08768971332209106
GSE276503,CRSMT26,CRSwNP,Middle_turbinate,Ambiguous_secretory,65,2456,0.0,2456,0.026465798045602607,0.026465798045602607,0.026465798045602607
GSE276503,CRSMT26,CRSwNP,Middle_turbinate,Goblet,9,2456,0.0,2456,0.0036644951140065146,0.0036644951140065146,0.0036644951140065146
GSE276503,CRSMT26,CRSwNP,Middle_turbinate,Inflammatory_secretory,7,2456,0.0,2456,0.0028501628664495114,0.0028501628664495114,0.0028501628664495114
GSE276503,CRSMT26,CRSwNP,Middle_turbinate,Mucous_glandular,51,2456,0.0,2456,0.020765472312703582,0.020765472312703582,0.020765472312703582
GSE276503,CRSMT26,CRSwNP,Middle_turbinate,Serous_glandular,2078,2456,0.0,2456,0.8460912052117264,0.8460912052117264,0.8460912052117264
GSE276503,CRSMT26,CRSwNP,Middle_turbinate,Surface_club,1,2456,0.0,2456,0.00040716612377850165,0.00040716612377850165,0.00040716612377850165
GSE276503,CRSMT26,CRSwNP,Middle_turbinate,Transitional_secretory,245,2456,0.0,2456,0.0997557003257329,0.0997557003257329,0.0997557003257329
GSE276503,CRSMT27,CRSwNP,Middle_turbinate,Ambiguous_secretory,66,2390,0.0,2390,0.027615062761506277,0.027615062761506277,0.027615062761506277
GSE276503,CRSMT27,CRSwNP,Middle_turbinate,Goblet,7,2390,0.0,2390,0.0029288702928870294,0.0029288702928870294,0.0029288702928870294
GSE276503,CRSMT27,CRSwNP,Middle_turbinate,Inflammatory_secretory,11,2390,0.0,2390,0.004602510460251046,0.004602510460251046,0.004602510460251046
GSE276503,CRSMT27,CRSwNP,Middle_turbinate,Mucous_glandular,58,2390,0.0,2390,0.024267782426778243,0.024267782426778243,0.024267782426778243
GSE276503,CRSMT27,CRSwNP,Middle_turbinate,Serous_glandular,2002,2390,0.0,2390,0.8376569037656904,0.8376569037656904,0.8376569037656904
GSE276503,CRSMT27,CRSwNP,Middle_turbinate,Surface_club,1,2390,0.0,2390,0.00041841004184100416,0.00041841004184100416,0.00041841004184100416
GSE276503,CRSMT27,CRSwNP,Middle_turbinate,Transitional_secretory,245,2390,0.0,2390,0.10251046025104603,0.10251046025104603,0.10251046025104603
GSE276503,CRSNP31,CRSwNP,Nasal_polyp,Ambiguous_secretory,68,977,0.0014542833946532812,976,0.06960081883316274,0.06967213114754098,0.06967213114754098
GSE276503,CRSNP31,CRSwNP,Nasal_polyp,Goblet,35,977,0.0029239766081871343,976,0.03582395087001024,0.035860655737704916,0.035860655737704916
GSE276503,CRSNP31,CRSwNP,Nasal_polyp,Inflammatory_secretory,93,977,0.0013037155894298751,976,0.09518935516888434,0.09528688524590163,0.09528688524590163
GSE276503,CRSNP31,CRSwNP,Nasal_polyp,Mucous_glandular,0,977,,976,0.0,0.0,0.0
GSE276503,CRSNP31,CRSwNP,Nasal_polyp,Serous_glandular,546,977,0.001690352313279105,976,0.5588536335721597,0.5594262295081968,0.5594262295081968
GSE276503,CRSNP31,CRSwNP,Nasal_polyp,Surface_club,0,977,,976,0.0,0.0,0.0
GSE276503,CRSNP31,CRSwNP,Nasal_polyp,Transitional_secretory,234,977,0.0015565263079982488,976,0.23950870010235414,0.23975409836065573,0.23975409836065573
GSE276503,CRSNP32,CRSwNP,Nasal_polyp,Ambiguous_secretory,61,929,0.001054767817565222,928,0.06566200215285253,0.06573275862068965,0.06573275862068965
GSE276503,CRSNP32,CRSwNP,Nasal_polyp,Goblet,59,929,0.0011124243899047486,928,0.06350914962325081,0.06357758620689655,0.06357758620689655
GSE276503,CRSNP32,CRSwNP,Nasal_polyp,Inflammatory_secretory,112,929,0.0008938912003691598,928,0.12055974165769645,0.1206896551724138,0.1206896551724138
GSE276503,CRSNP32,CRSwNP,Nasal_polyp,Mucous_glandular,2,929,0.0007202278502312215,928,0.002152852529601722,0.0021551724137931034,0.0021551724137931034
GSE276503,CRSNP32,CRSwNP,Nasal_polyp,Serous_glandular,436,929,0.001092198859229062,928,0.46932185145317545,0.4698275862068966,0.4698275862068966
GSE276503,CRSNP32,CRSwNP,Nasal_polyp,Surface_club,3,929,0.00047904191616766467,928,0.0032292787944025836,0.003232758620689655,0.003232758620689655
GSE276503,CRSNP32,CRSwNP,Nasal_polyp,Transitional_secretory,255,929,0.0010042401249721045,928,0.2744886975242196,0.27478448275862066,0.27478448275862066
GSE276503,CRSNP33,CRSwNP,Nasal_polyp,Ambiguous_secretory,92,1334,0.00035245900359284223,1331,0.06896551724137931,0.06912096168294515,0.06912096168294515
GSE276503,CRSNP33,CRSwNP,Nasal_polyp,Goblet,9,1334,0.00037397157816005983,1331,0.006746626686656672,0.0067618332081141996,0.0067618332081141996
GSE276503,CRSNP33,CRSwNP,Nasal_polyp,Inflammatory_secretory,141,1334,0.0003281019303330235,1331,0.10569715142428786,0.10593538692712247,0.10593538692712247
GSE276503,CRSNP33,CRSwNP,Nasal_polyp,Mucous_glandular,0,1334,,1331,0.0,0.0,0.0
GSE276503,CRSNP33,CRSwNP,Nasal_polyp,Serous_glandular,524,1334,0.00033297110611487,1331,0.39280359820089955,0.39368895567242673,0.39368895567242673
GSE276503,CRSNP33,CRSwNP,Nasal_polyp,Surface_club,1,1334,0.0,1331,0.0007496251874062968,0.0007513148009015778,0.0007513148009015778
GSE276503,CRSNP33,CRSwNP,Nasal_polyp,Transitional_secretory,564,1334,0.00032200045080744467,1331,0.42278860569715143,0.4237415477084899,0.4237415477084899
GSE276503,CRSNP34,CRSwNP,Nasal_polyp,Ambiguous_secretory,106,1321,0.000306315890247836,1320,0.08024224072672217,0.0803030303030303,0.0803030303030303
GSE276503,CRSNP34,CRSwNP,Nasal_polyp,Goblet,47,1321,0.0004008819402685909,1320,0.03557910673732021,0.035606060606060606,0.035606060606060606
GSE276503,CRSNP34,CRSwNP,Nasal_polyp,Inflammatory_secretory,92,1321,0.0003115637647191978,1320,0.0696442089326268,0.0696969696969697,0.0696969696969697
GSE276503,CRSNP34,CRSwNP,Nasal_polyp,Mucous_glandular,1,1321,0.00042716787697565144,1320,0.000757002271006813,0.0007575757575757576,0.0007575757575757576
GSE276503,CRSNP34,CRSwNP,Nasal_polyp,Serous_glandular,537,1321,0.0003431002538941879,1320,0.4065102195306586,0.4068181818181818,0.4068181818181818
GSE276503,CRSNP34,CRSwNP,Nasal_polyp,Surface_club,3,1321,0.000641025641025641,1320,0.002271006813020439,0.0022727272727272726,0.0022727272727272726
GSE276503,CRSNP34,CRSwNP,Nasal_polyp,Transitional_secretory,534,1321,0.00035720378878685544,1320,0.40423921271763813,0.40454545454545454,0.40454545454545454
