cell_min,subtype,n_paired,n_external_polyp,n_external_IT,genes_non_definition,rho,p,strong_non_definition,same_direction_rate
10,Serous_glandular,4,15,6,15445,0.2548995227452036,1.3083773092798289e-227,3182,0.828095537397863
10,Inflammatory_secretory,2,15,3,14186,0.0072070795806899205,0.39070768069277917,3626,0.6039713182570325
10,Transitional_secretory,4,15,6,15304,0.03519078186558521,1.334188970856231e-05,3504,0.5784817351598174
20,Serous_glandular,4,15,6,15445,0.2548995227452036,1.3083773092798289e-227,3182,0.828095537397863
20,Inflammatory_secretory,2,15,3,14186,0.0072070795806899205,0.39070768069277917,3626,0.6039713182570325
20,Transitional_secretory,3,15,6,14798,0.0004478726776835841,0.9565545100065815,3933,0.5141113653699466
50,Serous_glandular,4,15,6,15445,0.2548995227452036,1.3083773092798289e-227,3182,0.828095537397863
