dataset,sample,donor,disease,tissue,subtype,n_cells,n_secretory_candidates,candidate_fraction,median_ig_fraction
GSE261706,GSM8149312,AR2,AR,Inferior_turbinate,Surface_club,4,2411,0.0016590626296142678,0.0
GSE261706,GSM8149312,AR2,AR,Inferior_turbinate,Serous_glandular,652,2411,0.27042720862712566,0.0
GSE261706,GSM8149312,AR2,AR,Inferior_turbinate,Mucous_glandular,18,2411,0.007465781833264205,0.0
GSE261706,GSM8149312,AR2,AR,Inferior_turbinate,Goblet,65,2411,0.026959767731231855,0.0
GSE261706,GSM8149312,AR2,AR,Inferior_turbinate,Inflammatory_secretory,802,2411,0.3326420572376607,0.0
GSE261706,GSM8149312,AR2,AR,Inferior_turbinate,Transitional_secretory,734,2411,0.30443799253421816,0.0
GSE261706,GSM8149312,AR2,AR,Inferior_turbinate,Ambiguous_secretory,136,2411,0.05640812940688511,0.0
GSE261706,GSM8149313,AR2,AR,Inferior_turbinate,Surface_club,3,2996,0.0010013351134846463,0.0
GSE261706,GSM8149313,AR2,AR,Inferior_turbinate,Serous_glandular,620,2996,0.20694259012016022,0.0
GSE261706,GSM8149313,AR2,AR,Inferior_turbinate,Mucous_glandular,31,2996,0.01034712950600801,0.0
GSE261706,GSM8149313,AR2,AR,Inferior_turbinate,Goblet,77,2996,0.02570093457943925,0.0
GSE261706,GSM8149313,AR2,AR,Inferior_turbinate,Inflammatory_secretory,1115,2996,0.37216288384512686,0.0
GSE261706,GSM8149313,AR2,AR,Inferior_turbinate,Transitional_secretory,965,2996,0.3220961281708945,0.0
GSE261706,GSM8149313,AR2,AR,Inferior_turbinate,Ambiguous_secretory,185,2996,0.06174899866488651,0.0
GSE261706,GSM8149314,CON1,Healthy,Inferior_turbinate,Surface_club,16,1320,0.012121212121212121,0.0
GSE261706,GSM8149314,CON1,Healthy,Inferior_turbinate,Serous_glandular,315,1320,0.23863636363636365,0.0
GSE261706,GSM8149314,CON1,Healthy,Inferior_turbinate,Mucous_glandular,5,1320,0.003787878787878788,0.0
GSE261706,GSM8149314,CON1,Healthy,Inferior_turbinate,Goblet,6,1320,0.004545454545454545,0.0
GSE261706,GSM8149314,CON1,Healthy,Inferior_turbinate,Inflammatory_secretory,6,1320,0.004545454545454545,0.0
GSE261706,GSM8149314,CON1,Healthy,Inferior_turbinate,Transitional_secretory,927,1320,0.7022727272727273,0.0
GSE261706,GSM8149314,CON1,Healthy,Inferior_turbinate,Ambiguous_secretory,45,1320,0.03409090909090909,0.0
GSE261706,GSM8149315,CON1,Healthy,Inferior_turbinate,Surface_club,12,1718,0.006984866123399301,0.0
GSE261706,GSM8149315,CON1,Healthy,Inferior_turbinate,Serous_glandular,362,1718,0.21071012805587894,0.0
GSE261706,GSM8149315,CON1,Healthy,Inferior_turbinate,Mucous_glandular,8,1718,0.004656577415599534,0.0
GSE261706,GSM8149315,CON1,Healthy,Inferior_turbinate,Goblet,11,1718,0.006402793946449359,0.0
GSE261706,GSM8149315,CON1,Healthy,Inferior_turbinate,Inflammatory_secretory,9,1718,0.005238649592549476,0.0
