dataset,sample,donor,disease,tissue,subtype,n_cells,n_secretory_candidates,candidate_fraction,median_ig_fraction
GSE235711,GSM7508305_CRSwNP_NP_3,CRSwNP_3,CRSwNP,Nasal_polyp,Ambiguous_secretory,153,3671,0.041678016889131024,0.0
GSE235711,GSM7508306_CRSwNP_NP_4,CRSwNP_4,CRSwNP,Nasal_polyp,Surface_club,1,611,0.0016366612111292963,0.0
GSE235711,GSM7508306_CRSwNP_NP_4,CRSwNP_4,CRSwNP,Nasal_polyp,Serous_glandular,427,611,0.6988543371522095,0.00013807704699222165
GSE235711,GSM7508306_CRSwNP_NP_4,CRSwNP_4,CRSwNP,Nasal_polyp,Mucous_glandular,6,611,0.009819967266775777,0.0003479471120389701
GSE235711,GSM7508306_CRSwNP_NP_4,CRSwNP_4,CRSwNP,Nasal_polyp,Goblet,4,611,0.006546644844517185,0.001385916002262958
GSE235711,GSM7508306_CRSwNP_NP_4,CRSwNP_4,CRSwNP,Nasal_polyp,Inflammatory_secretory,20,611,0.03273322422258593,0.0004087118718455124
GSE235711,GSM7508306_CRSwNP_NP_4,CRSwNP_4,CRSwNP,Nasal_polyp,Transitional_secretory,115,611,0.18821603927986907,0.00015733165512901197
GSE235711,GSM7508306_CRSwNP_NP_4,CRSwNP_4,CRSwNP,Nasal_polyp,Ambiguous_secretory,38,611,0.062193126022913256,0.0003266199174568266
GSE235711,GSM7508307_CRSwNP_NP_5,CRSwNP_5,CRSwNP,Nasal_polyp,Surface_club,2,1330,0.0015037593984962407,0.000661554266739252
GSE235711,GSM7508307_CRSwNP_NP_5,CRSwNP_5,CRSwNP,Nasal_polyp,Serous_glandular,339,1330,0.2548872180451128,0.00011742602160638798
GSE235711,GSM7508307_CRSwNP_NP_5,CRSwNP_5,CRSwNP,Nasal_polyp,Mucous_glandular,0,1330,0.0,
GSE235711,GSM7508307_CRSwNP_NP_5,CRSwNP_5,CRSwNP,Nasal_polyp,Goblet,37,1330,0.027819548872180452,0.0001097574360662935
GSE235711,GSM7508307_CRSwNP_NP_5,CRSwNP_5,CRSwNP,Nasal_polyp,Inflammatory_secretory,759,1330,0.5706766917293233,0.00012026458208057727
GSE235711,GSM7508307_CRSwNP_NP_5,CRSwNP_5,CRSwNP,Nasal_polyp,Transitional_secretory,115,1330,0.08646616541353383,0.00017346053772766696
GSE235711,GSM7508307_CRSwNP_NP_5,CRSwNP_5,CRSwNP,Nasal_polyp,Ambiguous_secretory,78,1330,0.058646616541353384,0.00014726936551495343
GSE235711,GSM7508308_CRSwNP_NP_6,CRSwNP_6,CRSwNP,Nasal_polyp,Surface_club,2,354,0.005649717514124294,0.00025407961733024724
GSE235711,GSM7508308_CRSwNP_NP_6,CRSwNP_6,CRSwNP,Nasal_polyp,Serous_glandular,64,354,0.1807909604519774,2.354457766378381e-05
GSE235711,GSM7508308_CRSwNP_NP_6,CRSwNP_6,CRSwNP,Nasal_polyp,Mucous_glandular,0,354,0.0,
GSE235711,GSM7508308_CRSwNP_NP_6,CRSwNP_6,CRSwNP,Nasal_polyp,Goblet,3,354,0.00847457627118644,0.0001026167265264238
GSE235711,GSM7508308_CRSwNP_NP_6,CRSwNP_6,CRSwNP,Nasal_polyp,Inflammatory_secretory,211,354,0.596045197740113,2.939188196220204e-05
GSE235711,GSM7508308_CRSwNP_NP_6,CRSwNP_6,CRSwNP,Nasal_polyp,Transitional_secretory,53,354,0.1497175141242938,0.0
GSE235711,GSM7508308_CRSwNP_NP_6,CRSwNP_6,CRSwNP,Nasal_polyp,Ambiguous_secretory,21,354,0.059322033898305086,0.0
GSE276503,HCIT01,HCIT01,Healthy,Inferior_turbinate,Surface_club,27,3122,0.008648302370275465,0.0
GSE276503,HCIT01,HCIT01,Healthy,Inferior_turbinate,Serous_glandular,2441,3122,0.7818705957719411,0.0
GSE276503,HCIT01,HCIT01,Healthy,Inferior_turbinate,Mucous_glandular,34,3122,0.010890454836643177,0.0
GSE276503,HCIT01,HCIT01,Healthy,Inferior_turbinate,Goblet,5,3122,0.0016015374759769379,0.0
GSE276503,HCIT01,HCIT01,Healthy,Inferior_turbinate,Inflammatory_secretory,25,3122,0.008007687379884689,0.0
GSE276503,HCIT01,HCIT01,Healthy,Inferior_turbinate,Transitional_secretory,442,3122,0.14157591287636132,2.7684463078370644e-05
GSE276503,HCIT01,HCIT01,Healthy,Inferior_turbinate,Ambiguous_secretory,148,3122,0.04740550928891736,0.0
GSE276503,HCIT02,HCIT02,Healthy,Inferior_turbinate,Surface_club,33,2829,0.01166489925768823,2.703287197231834e-05
GSE276503,HCIT02,HCIT02,Healthy,Inferior_turbinate,Serous_glandular,2070,2829,0.7317073170731707,0.0
GSE276503,HCIT02,HCIT02,Healthy,Inferior_turbinate,Mucous_glandular,42,2829,0.014846235418875928,0.0
GSE276503,HCIT02,HCIT02,Healthy,Inferior_turbinate,Goblet,46,2829,0.016260162601626018,3.977063497591891e-05
GSE276503,HCIT02,HCIT02,Healthy,Inferior_turbinate,Inflammatory_secretory,37,2829,0.013078826440438318,0.0
GSE276503,HCIT02,HCIT02,Healthy,Inferior_turbinate,Transitional_secretory,459,2829,0.16224814422057265,3.1427763286086926e-05
GSE276503,HCIT02,HCIT02,Healthy,Inferior_turbinate,Ambiguous_secretory,142,2829,0.05019441498762814,2.8499836622647146e-05
GSE276503,CRSIT12,CRSIT12,CRSwNP,Inferior_turbinate,Surface_club,12,3402,0.003527336860670194,0.0
GSE276503,CRSIT12,CRSIT12,CRSwNP,Inferior_turbinate,Serous_glandular,1298,3402,0.38154027042915933,0.0
GSE276503,CRSIT12,CRSIT12,CRSwNP,Inferior_turbinate,Mucous_glandular,134,3402,0.0393885949441505,0.0
GSE276503,CRSIT12,CRSIT12,CRSwNP,Inferior_turbinate,Goblet,17,3402,0.0049970605526161085,0.0
GSE276503,CRSIT12,CRSIT12,CRSwNP,Inferior_turbinate,Inflammatory_secretory,29,3402,0.008524397413286302,0.0
GSE276503,CRSIT12,CRSIT12,CRSwNP,Inferior_turbinate,Transitional_secretory,1751,3402,0.5146972369194591,0.0
GSE276503,CRSIT12,CRSIT12,CRSwNP,Inferior_turbinate,Ambiguous_secretory,161,3402,0.047325102880658436,0.0
GSE276503,CRSIT13,CRSIT13,CRSwNP,Inferior_turbinate,Surface_club,3,3705,0.0008097165991902834,0.0
GSE276503,CRSIT13,CRSIT13,CRSwNP,Inferior_turbinate,Serous_glandular,1087,3705,0.29338731443994603,0.0
GSE276503,CRSIT13,CRSIT13,CRSwNP,Inferior_turbinate,Mucous_glandular,71,3705,0.019163292847503375,0.0
GSE276503,CRSIT13,CRSIT13,CRSwNP,Inferior_turbinate,Goblet,14,3705,0.003778677462887989,0.0
GSE276503,CRSIT13,CRSIT13,CRSwNP,Inferior_turbinate,Inflammatory_secretory,25,3705,0.006747638326585695,0.0
GSE276503,CRSIT13,CRSIT13,CRSwNP,Inferior_turbinate,Transitional_secretory,2370,3705,0.6396761133603239,0.0
GSE276503,CRSIT13,CRSIT13,CRSwNP,Inferior_turbinate,Ambiguous_secretory,135,3705,0.03643724696356275,0.0
GSE276503,CRSIT16,CRSIT16,CRSwNP,Inferior_turbinate,Surface_club,0,1473,0.0,
GSE276503,CRSIT16,CRSIT16,CRSwNP,Inferior_turbinate,Serous_glandular,1114,1473,0.7562797012898846,0.0
GSE276503,CRSIT16,CRSIT16,CRSwNP,Inferior_turbinate,Mucous_glandular,76,1473,0.051595383570943655,0.0
GSE276503,CRSIT16,CRSIT16,CRSwNP,Inferior_turbinate,Goblet,3,1473,0.002036659877800407,0.0
GSE276503,CRSIT16,CRSIT16,CRSwNP,Inferior_turbinate,Inflammatory_secretory,24,1473,0.016293279022403257,0.0
GSE276503,CRSIT16,CRSIT16,CRSwNP,Inferior_turbinate,Transitional_secretory,233,1473,0.1581805838424983,0.0
GSE276503,CRSIT16,CRSIT16,CRSwNP,Inferior_turbinate,Ambiguous_secretory,23,1473,0.015614392396469789,0.0
GSE276503,CRSIT17,CRSIT17,CRSwNP,Inferior_turbinate,Surface_club,0,2126,0.0,
GSE276503,CRSIT17,CRSIT17,CRSwNP,Inferior_turbinate,Serous_glandular,1710,2126,0.8043273753527752,0.0
GSE276503,CRSIT17,CRSIT17,CRSwNP,Inferior_turbinate,Mucous_glandular,210,2126,0.09877704609595485,0.0
GSE276503,CRSIT17,CRSIT17,CRSwNP,Inferior_turbinate,Goblet,4,2126,0.0018814675446848542,0.0
GSE276503,CRSIT17,CRSIT17,CRSwNP,Inferior_turbinate,Inflammatory_secretory,1,2126,0.00047036688617121356,0.0002232142857142857
GSE276503,CRSIT17,CRSIT17,CRSwNP,Inferior_turbinate,Transitional_secretory,150,2126,0.07055503292568203,0.0
GSE276503,CRSIT17,CRSIT17,CRSwNP,Inferior_turbinate,Ambiguous_secretory,51,2126,0.02398871119473189,0.0
GSE276503,CRSIT18,CRSIT18,CRSwNP,Inferior_turbinate,Surface_club,1,1848,0.0005411255411255411,0.0
GSE276503,CRSIT18,CRSIT18,CRSwNP,Inferior_turbinate,Serous_glandular,1490,1848,0.8062770562770563,0.0
GSE276503,CRSIT18,CRSIT18,CRSwNP,Inferior_turbinate,Mucous_glandular,184,1848,0.09956709956709957,0.0
GSE276503,CRSIT18,CRSIT18,CRSwNP,Inferior_turbinate,Goblet,2,1848,0.0010822510822510823,0.0
GSE276503,CRSIT18,CRSIT18,CRSwNP,Inferior_turbinate,Inflammatory_secretory,0,1848,0.0,
GSE276503,CRSIT18,CRSIT18,CRSwNP,Inferior_turbinate,Transitional_secretory,123,1848,0.06655844155844155,0.0
GSE276503,CRSIT18,CRSIT18,CRSwNP,Inferior_turbinate,Ambiguous_secretory,48,1848,0.025974025974025976,0.0
GSE276503,CRSIT19,CRSIT19,CRSwNP,Inferior_turbinate,Surface_club,0,1334,0.0,
GSE276503,CRSIT19,CRSIT19,CRSwNP,Inferior_turbinate,Serous_glandular,986,1334,0.7391304347826086,0.0
GSE276503,CRSIT19,CRSIT19,CRSwNP,Inferior_turbinate,Mucous_glandular,170,1334,0.12743628185907047,0.0
GSE276503,CRSIT19,CRSIT19,CRSwNP,Inferior_turbinate,Goblet,2,1334,0.0014992503748125937,0.00012447099825740602
GSE276503,CRSIT19,CRSIT19,CRSwNP,Inferior_turbinate,Inflammatory_secretory,0,1334,0.0,
GSE276503,CRSIT19,CRSIT19,CRSwNP,Inferior_turbinate,Transitional_secretory,128,1334,0.095952023988006,0.0
GSE276503,CRSIT19,CRSIT19,CRSwNP,Inferior_turbinate,Ambiguous_secretory,48,1334,0.035982008995502246,0.0
GSE276503,CRSMT21,CRSMT21,CRSwNP,Middle_turbinate,Surface_club,0,3863,0.0,
GSE276503,CRSMT21,CRSMT21,CRSwNP,Middle_turbinate,Serous_glandular,3383,3863,0.8757442402278022,0.0
GSE276503,CRSMT21,CRSMT21,CRSwNP,Middle_turbinate,Mucous_glandular,236,3863,0.06109241522133057,0.0
GSE276503,CRSMT21,CRSMT21,CRSwNP,Middle_turbinate,Goblet,0,3863,0.0,
GSE276503,CRSMT21,CRSMT21,CRSwNP,Middle_turbinate,Inflammatory_secretory,13,3863,0.003365260160497023,0.0
GSE276503,CRSMT21,CRSMT21,CRSwNP,Middle_turbinate,Transitional_secretory,179,3863,0.04633704374838209,0.0
GSE276503,CRSMT21,CRSMT21,CRSwNP,Middle_turbinate,Ambiguous_secretory,52,3863,0.013461040641988092,0.0
GSE276503,CRSMT23,CRSMT23,CRSwNP,Middle_turbinate,Surface_club,1,295,0.003389830508474576,0.0
GSE276503,CRSMT23,CRSMT23,CRSwNP,Middle_turbinate,Serous_glandular,192,295,0.6508474576271186,0.0
GSE276503,CRSMT23,CRSMT23,CRSwNP,Middle_turbinate,Mucous_glandular,5,295,0.01694915254237288,0.0
GSE276503,CRSMT23,CRSMT23,CRSwNP,Middle_turbinate,Goblet,1,295,0.003389830508474576,0.0
GSE276503,CRSMT23,CRSMT23,CRSwNP,Middle_turbinate,Inflammatory_secretory,25,295,0.0847457627118644,0.0
GSE276503,CRSMT23,CRSMT23,CRSwNP,Middle_turbinate,Transitional_secretory,54,295,0.18305084745762712,0.0
GSE276503,CRSMT23,CRSMT23,CRSwNP,Middle_turbinate,Ambiguous_secretory,17,295,0.0576271186440678,0.0
GSE276503,CRSMT24,CRSMT24,CRSwNP,Middle_turbinate,Surface_club,3,182,0.016483516483516484,0.0
GSE276503,CRSMT24,CRSMT24,CRSwNP,Middle_turbinate,Serous_glandular,111,182,0.6098901098901099,0.0
GSE276503,CRSMT24,CRSMT24,CRSwNP,Middle_turbinate,Mucous_glandular,11,182,0.06043956043956044,0.0
GSE276503,CRSMT24,CRSMT24,CRSwNP,Middle_turbinate,Goblet,1,182,0.005494505494505495,0.0
GSE276503,CRSMT24,CRSMT24,CRSwNP,Middle_turbinate,Inflammatory_secretory,14,182,0.07692307692307693,0.0
GSE276503,CRSMT24,CRSMT24,CRSwNP,Middle_turbinate,Transitional_secretory,34,182,0.18681318681318682,0.0
GSE276503,CRSMT24,CRSMT24,CRSwNP,Middle_turbinate,Ambiguous_secretory,7,182,0.038461538461538464,0.0
GSE276503,CRSMT25,CRSMT25,CRSwNP,Middle_turbinate,Surface_club,1,2965,0.0003372681281618887,0.0
GSE276503,CRSMT25,CRSMT25,CRSwNP,Middle_turbinate,Serous_glandular,2557,2965,0.8623946037099494,0.0
GSE276503,CRSMT25,CRSMT25,CRSwNP,Middle_turbinate,Mucous_glandular,49,2965,0.016526138279932545,0.0
GSE276503,CRSMT25,CRSMT25,CRSwNP,Middle_turbinate,Goblet,11,2965,0.003709949409780776,0.0
GSE276503,CRSMT25,CRSMT25,CRSwNP,Middle_turbinate,Inflammatory_secretory,11,2965,0.003709949409780776,0.0
GSE276503,CRSMT25,CRSMT25,CRSwNP,Middle_turbinate,Transitional_secretory,260,2965,0.08768971332209106,0.0
GSE276503,CRSMT25,CRSMT25,CRSwNP,Middle_turbinate,Ambiguous_secretory,76,2965,0.025632377740303542,0.0
GSE276503,CRSMT26,CRSMT26,CRSwNP,Middle_turbinate,Surface_club,1,2456,0.00040716612377850165,0.0
GSE276503,CRSMT26,CRSMT26,CRSwNP,Middle_turbinate,Serous_glandular,2078,2456,0.8460912052117264,0.0
GSE276503,CRSMT26,CRSMT26,CRSwNP,Middle_turbinate,Mucous_glandular,51,2456,0.020765472312703582,0.0
GSE276503,CRSMT26,CRSMT26,CRSwNP,Middle_turbinate,Goblet,9,2456,0.0036644951140065146,0.0
GSE276503,CRSMT26,CRSMT26,CRSwNP,Middle_turbinate,Inflammatory_secretory,7,2456,0.0028501628664495114,0.0
GSE276503,CRSMT26,CRSMT26,CRSwNP,Middle_turbinate,Transitional_secretory,245,2456,0.0997557003257329,0.0
GSE276503,CRSMT26,CRSMT26,CRSwNP,Middle_turbinate,Ambiguous_secretory,65,2456,0.026465798045602607,0.0
GSE276503,CRSMT27,CRSMT27,CRSwNP,Middle_turbinate,Surface_club,1,2390,0.00041841004184100416,0.0
GSE276503,CRSMT27,CRSMT27,CRSwNP,Middle_turbinate,Serous_glandular,2002,2390,0.8376569037656904,0.0
GSE276503,CRSMT27,CRSMT27,CRSwNP,Middle_turbinate,Mucous_glandular,58,2390,0.024267782426778243,0.0
GSE276503,CRSMT27,CRSMT27,CRSwNP,Middle_turbinate,Goblet,7,2390,0.0029288702928870294,0.0
GSE276503,CRSMT27,CRSMT27,CRSwNP,Middle_turbinate,Inflammatory_secretory,11,2390,0.004602510460251046,0.0
GSE276503,CRSMT27,CRSMT27,CRSwNP,Middle_turbinate,Transitional_secretory,245,2390,0.10251046025104603,0.0
GSE276503,CRSMT27,CRSMT27,CRSwNP,Middle_turbinate,Ambiguous_secretory,66,2390,0.027615062761506277,0.0
GSE276503,CRSNP31,CRSNP31,CRSwNP,Nasal_polyp,Surface_club,0,977,0.0,
GSE276503,CRSNP31,CRSNP31,CRSwNP,Nasal_polyp,Serous_glandular,546,977,0.5588536335721597,0.001690352313279105
GSE276503,CRSNP31,CRSNP31,CRSwNP,Nasal_polyp,Mucous_glandular,0,977,0.0,
GSE276503,CRSNP31,CRSNP31,CRSwNP,Nasal_polyp,Goblet,35,977,0.03582395087001024,0.0029239766081871343
GSE276503,CRSNP31,CRSNP31,CRSwNP,Nasal_polyp,Inflammatory_secretory,93,977,0.09518935516888434,0.0013037155894298751
GSE276503,CRSNP31,CRSNP31,CRSwNP,Nasal_polyp,Transitional_secretory,234,977,0.23950870010235414,0.0015565263079982488
GSE276503,CRSNP31,CRSNP31,CRSwNP,Nasal_polyp,Ambiguous_secretory,68,977,0.06960081883316274,0.0014542833946532812
GSE276503,CRSNP32,CRSNP32,CRSwNP,Nasal_polyp,Surface_club,3,929,0.0032292787944025836,0.00047904191616766467
GSE276503,CRSNP32,CRSNP32,CRSwNP,Nasal_polyp,Serous_glandular,436,929,0.46932185145317545,0.001092198859229062
GSE276503,CRSNP32,CRSNP32,CRSwNP,Nasal_polyp,Mucous_glandular,2,929,0.002152852529601722,0.0007202278502312215
GSE276503,CRSNP32,CRSNP32,CRSwNP,Nasal_polyp,Goblet,59,929,0.06350914962325081,0.0011124243899047486
GSE276503,CRSNP32,CRSNP32,CRSwNP,Nasal_polyp,Inflammatory_secretory,112,929,0.12055974165769645,0.0008938912003691598
GSE276503,CRSNP32,CRSNP32,CRSwNP,Nasal_polyp,Transitional_secretory,255,929,0.2744886975242196,0.0010042401249721045
GSE276503,CRSNP32,CRSNP32,CRSwNP,Nasal_polyp,Ambiguous_secretory,61,929,0.06566200215285253,0.001054767817565222
GSE276503,CRSNP33,CRSNP33,CRSwNP,Nasal_polyp,Surface_club,1,1334,0.0007496251874062968,0.0
GSE276503,CRSNP33,CRSNP33,CRSwNP,Nasal_polyp,Serous_glandular,524,1334,0.39280359820089955,0.00033297110611487
GSE276503,CRSNP33,CRSNP33,CRSwNP,Nasal_polyp,Mucous_glandular,0,1334,0.0,
GSE276503,CRSNP33,CRSNP33,CRSwNP,Nasal_polyp,Goblet,9,1334,0.006746626686656672,0.00037397157816005983
GSE276503,CRSNP33,CRSNP33,CRSwNP,Nasal_polyp,Inflammatory_secretory,141,1334,0.10569715142428786,0.0003281019303330235
GSE276503,CRSNP33,CRSNP33,CRSwNP,Nasal_polyp,Transitional_secretory,564,1334,0.42278860569715143,0.00032200045080744467
GSE276503,CRSNP33,CRSNP33,CRSwNP,Nasal_polyp,Ambiguous_secretory,92,1334,0.06896551724137931,0.00035245900359284223
GSE276503,CRSNP34,CRSNP34,CRSwNP,Nasal_polyp,Surface_club,3,1321,0.002271006813020439,0.000641025641025641
GSE276503,CRSNP34,CRSNP34,CRSwNP,Nasal_polyp,Serous_glandular,537,1321,0.4065102195306586,0.0003431002538941879
GSE276503,CRSNP34,CRSNP34,CRSwNP,Nasal_polyp,Mucous_glandular,1,1321,0.000757002271006813,0.00042716787697565144
GSE276503,CRSNP34,CRSNP34,CRSwNP,Nasal_polyp,Goblet,47,1321,0.03557910673732021,0.0004008819402685909
GSE276503,CRSNP34,CRSNP34,CRSwNP,Nasal_polyp,Inflammatory_secretory,92,1321,0.0696442089326268,0.0003115637647191978
GSE276503,CRSNP34,CRSNP34,CRSwNP,Nasal_polyp,Transitional_secretory,534,1321,0.40423921271763813,0.00035720378878685544
GSE276503,CRSNP34,CRSNP34,CRSwNP,Nasal_polyp,Ambiguous_secretory,106,1321,0.08024224072672217,0.000306315890247836
GSE276503,CRSNP35,CRSNP35,CRSwNP,Nasal_polyp,Surface_club,2,2203,0.0009078529278256923,0.0013897467572575664
GSE276503,CRSNP35,CRSNP35,CRSwNP,Nasal_polyp,Serous_glandular,252,2203,0.11438946890603723,0.00014034169277823768
GSE276503,CRSNP35,CRSNP35,CRSwNP,Nasal_polyp,Mucous_glandular,2,2203,0.0009078529278256923,0.00010782833728703904
GSE276503,CRSNP35,CRSNP35,CRSwNP,Nasal_polyp,Goblet,20,2203,0.009078529278256923,6.530541164177805e-05
GSE276503,CRSNP35,CRSNP35,CRSwNP,Nasal_polyp,Inflammatory_secretory,472,2203,0.21425329096686338,0.00011377601563661806
GSE276503,CRSNP35,CRSNP35,CRSwNP,Nasal_polyp,Transitional_secretory,1324,2203,0.6009986382206083,0.00011439055266456908
GSE276503,CRSNP35,CRSNP35,CRSwNP,Nasal_polyp,Ambiguous_secretory,129,2203,0.05855651384475715,0.00014310246136233542
GSE276503,CRSNP36,CRSNP36,CRSwNP,Nasal_polyp,Surface_club,4,1981,0.0020191822311963654,0.00024366229617518056
GSE276503,CRSNP36,CRSNP36,CRSwNP,Nasal_polyp,Serous_glandular,253,1981,0.12771327612317013,0.00012584948401711554
GSE276503,CRSNP36,CRSNP36,CRSwNP,Nasal_polyp,Mucous_glandular,4,1981,0.0020191822311963654,0.00022366167856934362
GSE276503,CRSNP36,CRSNP36,CRSwNP,Nasal_polyp,Goblet,11,1981,0.005552751135790005,0.00018117817579459572
GSE276503,CRSNP36,CRSNP36,CRSwNP,Nasal_polyp,Inflammatory_secretory,449,1981,0.22665320545179202,0.00013829345871940258
GSE276503,CRSNP36,CRSNP36,CRSwNP,Nasal_polyp,Transitional_secretory,1143,1981,0.5769813225643614,0.00014539110206455364
GSE276503,CRSNP36,CRSNP36,CRSwNP,Nasal_polyp,Ambiguous_secretory,111,1981,0.05603230691569914,0.00013386880856760375
GSE276503,CRSNP37,CRSNP37,CRSwNP,Nasal_polyp,Surface_club,1,3295,0.00030349013657056146,0.0
GSE276503,CRSNP37,CRSNP37,CRSwNP,Nasal_polyp,Serous_glandular,551,3295,0.16722306525037936,0.0
GSE276503,CRSNP37,CRSNP37,CRSwNP,Nasal_polyp,Mucous_glandular,2,3295,0.0006069802731411229,0.0
GSE276503,CRSNP37,CRSNP37,CRSwNP,Nasal_polyp,Goblet,26,3295,0.007890743550834597,0.0
GSE276503,CRSNP37,CRSNP37,CRSwNP,Nasal_polyp,Inflammatory_secretory,755,3295,0.2291350531107739,0.0
GSE276503,CRSNP37,CRSNP37,CRSwNP,Nasal_polyp,Transitional_secretory,1783,3295,0.541122913505311,0.0
GSE276503,CRSNP37,CRSNP37,CRSwNP,Nasal_polyp,Ambiguous_secretory,176,3295,0.053414264036418815,0.0
GSE276503,CRSNP38,CRSNP38,CRSwNP,Nasal_polyp,Surface_club,3,5192,0.0005778120184899846,0.0004675081813931744
GSE276503,CRSNP38,CRSNP38,CRSwNP,Nasal_polyp,Serous_glandular,810,5192,0.15600924499229585,0.0
GSE276503,CRSNP38,CRSNP38,CRSwNP,Nasal_polyp,Mucous_glandular,5,5192,0.000963020030816641,6.629101756711965e-05
GSE276503,CRSNP38,CRSNP38,CRSwNP,Nasal_polyp,Goblet,37,5192,0.007126348228043144,0.0
GSE276503,CRSNP38,CRSNP38,CRSwNP,Nasal_polyp,Inflammatory_secretory,1322,5192,0.2546224961479199,0.0
GSE276503,CRSNP38,CRSNP38,CRSwNP,Nasal_polyp,Transitional_secretory,2765,5192,0.5325500770416025,0.0
GSE276503,CRSNP38,CRSNP38,CRSwNP,Nasal_polyp,Ambiguous_secretory,250,5192,0.04815100154083205,0.0
GSE276503,CRSNP39,CRSNP39,CRSwNP,Nasal_polyp,Surface_club,4,1144,0.0034965034965034965,0.000459751872411089
GSE276503,CRSNP39,CRSNP39,CRSwNP,Nasal_polyp,Serous_glandular,113,1144,0.09877622377622378,0.00044863167339614175
GSE276503,CRSNP39,CRSNP39,CRSwNP,Nasal_polyp,Mucous_glandular,0,1144,0.0,
GSE276503,CRSNP39,CRSNP39,CRSwNP,Nasal_polyp,Goblet,17,1144,0.01486013986013986,0.0006601749463607857
GSE276503,CRSNP39,CRSNP39,CRSwNP,Nasal_polyp,Inflammatory_secretory,115,1144,0.10052447552447552,0.00037684654808561955
GSE276503,CRSNP39,CRSNP39,CRSwNP,Nasal_polyp,Transitional_secretory,846,1144,0.7395104895104895,0.0004082966302024813
GSE276503,CRSNP39,CRSNP39,CRSwNP,Nasal_polyp,Ambiguous_secretory,48,1144,0.04195804195804196,0.0003829574806006658
GSE276503,CRSNP40,CRSNP40,CRSwNP,Nasal_polyp,Surface_club,1,1180,0.000847457627118644,0.0010607265977194379
GSE276503,CRSNP40,CRSNP40,CRSwNP,Nasal_polyp,Serous_glandular,127,1180,0.10762711864406779,0.00030152268958239106
GSE276503,CRSNP40,CRSNP40,CRSwNP,Nasal_polyp,Mucous_glandular,2,1180,0.001694915254237288,0.0005339429804957844
GSE276503,CRSNP40,CRSNP40,CRSwNP,Nasal_polyp,Goblet,24,1180,0.020338983050847456,0.0001416067873300377
GSE276503,CRSNP40,CRSNP40,CRSwNP,Nasal_polyp,Inflammatory_secretory,107,1180,0.09067796610169492,0.00027477811667078836
GSE276503,CRSNP40,CRSNP40,CRSwNP,Nasal_polyp,Transitional_secretory,850,1180,0.7203389830508474,0.00027221317611362573
GSE276503,CRSNP40,CRSNP40,CRSwNP,Nasal_polyp,Ambiguous_secretory,64,1180,0.05423728813559322,0.0003117469769571635
GSE276503,CRSNP41,CRSNP41,CRSwNP,Nasal_polyp,Surface_club,2,2753,0.000726480203414457,0.0008077936553245447
GSE276503,CRSNP41,CRSNP41,CRSwNP,Nasal_polyp,Serous_glandular,497,2753,0.18053033054849255,0.0003311532411623479
GSE276503,CRSNP41,CRSNP41,CRSwNP,Nasal_polyp,Mucous_glandular,2,2753,0.000726480203414457,0.0011314702181911861
GSE276503,CRSNP41,CRSNP41,CRSwNP,Nasal_polyp,Goblet,9,2753,0.0032691609153650564,0.0013831258644536654
GSE276503,CRSNP41,CRSNP41,CRSwNP,Nasal_polyp,Inflammatory_secretory,500,2753,0.18162005085361424,0.0002973393499122594
GSE276503,CRSNP41,CRSNP41,CRSwNP,Nasal_polyp,Transitional_secretory,1506,2753,0.5470395931710861,0.00033283410781479047
GSE276503,CRSNP41,CRSNP41,CRSwNP,Nasal_polyp,Ambiguous_secretory,234,2753,0.08499818379949146,0.00033620008567479065
