network,source,effect_paired,se_paired,p_paired,n_paired,loo_sign_stability,effect_external,se_external,p_external,n_external_np,n_external_it,meta_effect,meta_se,meta_p,meta_fdr,direction_concordant,fisher_p,fisher_fdr,source_detected_fraction_paired,source_detected_fraction_external,replicated_priority
CollecTRI,MZF1,0.03097206748339129,0.9977713561679762,0.977186302434268,4,0.75,1.9558291982699825,0.2393050208681584,1.2204183010820506e-07,15,6,1.851128341838107,0.23270563454410462,1.7941139295014395e-15,6.20763419607498e-13,True,2.020459946389912e-06,0.0006990791414509095,1.0,1.0,False
CollecTRI,BCL3,1.491756237134303,0.758617316096956,0.1439488554588698,4,1.0,1.5806216532892676,0.2993873358140919,6.804802024683669e-05,15,6,1.5686462229524467,0.27848507610631645,1.7732371000846807e-08,8.76485766613285e-07,True,0.00012277200203642119,0.021239556352300865,1.0,1.0,False
CollecTRI,KLF11,0.9266268135145523,0.5795788316625222,0.20816317126801873,4,1.0,0.8735335425459003,0.1730880665787994,7.671181587398014e-05,15,6,0.8778811029890605,0.16585004293739972,1.2017985200565807e-07,5.197778599244712e-06,True,0.00019233969319295259,0.022183177948253863,1.0,1.0,False
CollecTRI,VSX2,1.61517195912372,1.3054878739235167,0.3040207256387042,4,1.0,3.073335909319857,0.5203017074455839,0.00027688349278865565,15,6,2.873466181816273,0.48332935616589834,2.7620150849511735e-09,1.911314438786212e-07,True,0.000873987568923122,0.06047993976948005,0.0,0.0,False
CollecTRI,NR1H2,2.60208290148102,0.6769513012390489,0.03106922218959208,4,1.0,2.536775842314329,0.6116366247362146,0.004748392301553468,15,6,2.566127634696858,0.4538315422837883,1.5642660441073737e-08,8.76485766613285e-07,True,0.0014489527022557565,0.06266720437256147,1.0,1.0,True
CollecTRI,ZEB1,-2.6624722324085686,0.4300147304397021,0.008486225146012605,4,1.0,-1.2107981582992076,0.41475797557087396,0.012989928672866536,15,6,-1.9104262355627144,0.298526155198947,1.5585886456305014e-10,2.6963583569407673e-08,True,0.001114799288384928,0.06266720437256147,0.15,0.8620689655172413,False
CollecTRI,DNMT3B,4.413583033937412,1.808242892589363,0.09243316197262458,4,1.0,2.9532946465034566,0.7432996340950616,0.004478797173600814,15,6,3.1643755240098224,0.6874828939007478,4.167632785428207e-06,8.011116354211998e-05,True,0.003638830167426237,0.07818374723169426,0.45,0.41379310344827586,True
CollecTRI,ELK1,2.6702645802681753,2.1367885903112143,0.3000367520110226,4,1.0,3.9922706491458535,0.6724193495958529,0.0008343260465663,15,6,3.873151372190173,0.6414101910324667,1.5555953832967999e-09,1.345590006551732e-07,True,0.002326236599946951,0.07818374723169426,1.0,1.0,False
CollecTRI,GABPA,2.413537846647536,1.7863051584437368,0.26951681047901976,4,1.0,3.1222360004890986,0.643953598822201,0.0016329133126954452,15,6,3.0407285254119927,0.6057922619346382,5.182650769153363e-07,1.9924412956967376e-05,True,0.003841397985372261,0.07818374723169426,1.0,1.0,False
CollecTRI,GATA1,3.2615139276384557,1.23193626533082,0.07716070597736262,4,1.0,2.487611698507111,0.6640238137360468,0.0046060089554232665,15,6,2.6618360501373224,0.584520328539284,5.266514135126862e-06,8.677209003589973e-05,True,0.0031781046189648357,0.07818374723169426,0.0,0.0,False
CollecTRI,HNF1A,2.8139851647195604,1.1571936253636288,0.0931856301872998,4,1.0,3.6074185834240855,0.8505431604499774,0.004644979611715105,15,6,3.32912392253948,0.6853354950639443,1.1878368170721163e-06,3.161473374668863e-05,True,0.0037852888966407837,0.07818374723169426,0.0,0.0,False
CollecTRI,PAX2,0.9622101981191625,0.6588024495298043,0.24027105803992596,4,1.0,1.5954889279680933,0.3674850167912372,0.0012708114347337424,15,6,1.4452053215252165,0.3209323962546041,6.695496537541877e-06,0.00010530190009043135,True,0.002776781395886636,0.07818374723169426,0.0,0.0,False
CollecTRI,POU4F1,1.597683270746626,0.5682193981138984,0.06719608054600315,4,1.0,1.2765238096697205,0.38343681518485384,0.005479536824519999,15,6,1.377009818220262,0.3178399570883331,1.4749268582476362e-05,0.0001962787280591085,True,0.0032795416613868927,0.07818374723169426,0.0,0.0,False
CollecTRI,SREBF2,2.494639564902889,1.28654721185417,0.14785368626790105,4,1.0,2.72891559283259,0.5986382121239818,0.0019270210311509183,15,6,2.6872200453843136,0.5427585106490065,7.381726452855613e-07,2.554077352688042e-05,True,0.0026107848801684977,0.07818374723169426,1.0,1.0,False
CollecTRI,ZNF143,4.169459686249076,1.6109548314622124,0.08120114212510979,4,1.0,1.473463984140331,0.43350641060331113,0.0051893967675392845,15,6,1.6555098920107225,0.41861446054530643,7.661904408311698e-05,0.0007216385105880932,True,0.0036963734722414146,0.07818374723169426,1.0,1.0,True
CollecTRI,GTF2I,2.5501723554379105,1.0374211953113952,0.09101431612685282,4,1.0,2.8625083093634,0.6739441823380067,0.005307874253708265,15,6,2.769814114397227,0.5651586710204985,9.5374565429328e-07,2.9999636035043168e-05,True,0.004171650175903918,0.08007937697200035,1.0,1.0,True
