network,source,effect_paired,se_paired,p_paired,n_paired,loo_sign_stability,effect_external,se_external,p_external,n_external_np,n_external_it,meta_effect,meta_se,meta_p,meta_fdr,direction_concordant,fisher_p,fisher_fdr,source_detected_fraction_paired,source_detected_fraction_external
PROGENy,EGFR,-3.4729056792528055,3.0804266650873764,0.34159719431058017,4,1.0,-10.770046639400231,1.9210862639560407,0.00035338363925386043,15,6,-8.72668982368417,1.6300713398640017,8.623892822443387e-08,3.0183624878551856e-07,True,0.0012098138994500577,0.006471748751699867,,
PROGENy,Estrogen,-1.5497954941573482,0.8525112752984008,0.16666672522498951,4,1.0,-4.173369442933751,0.7147512684537733,0.0014911961121862234,15,6,-3.0904225982290785,0.5477180419029791,1.677345110132252e-08,1.818526184171232e-07,True,0.00231133883989281,0.006471748751699867,,
PROGENy,PI3K,-6.890035345565334,3.095318100103597,0.11241862676104043,4,1.0,-10.911607638091326,2.152559366876794,0.002059375478334158,15,6,-9.6006930818453,1.7672359605369332,5.553757699171992e-08,2.5917535929469295e-07,True,0.0021694722709315966,0.006471748751699867,,
PROGENy,WNT,3.2492062276480715,1.2400824541900979,0.07899101384730157,4,1.0,2.446240945150738,0.6115010738268831,0.0013618833354106766,15,6,2.6032999461292192,0.5484456471314524,2.0677532514956945e-06,5.7897091041879446e-06,True,0.0010905365650492587,0.006471748751699867,,
PROGENy,JAK-STAT,7.951673125335066,2.440949691674828,0.04721665947258656,4,1.0,1.5236579359106883,3.095765999868265,0.6342191208876897,15,6,5.487407173847143,1.9167852874762608,0.0041989184765691325,0.009797476445327975,True,0.13500631064059743,0.21000981655204043,,
PROGENy,Trail,-1.3924617230358107,0.7895993742946321,0.17601345350085232,4,1.0,-0.3044799268839581,0.6585419307256604,0.6552706211940658,15,6,-0.7508078719624764,0.5057350118559774,0.13765313131718573,0.24089297980507504,True,0.3644518417123953,0.5102325783973535,,
PROGENy,Hypoxia,1.3900163427104841,1.847224917626118,0.5064184647981337,4,0.75,0.7200665253466163,0.6929478095056858,0.31629415614722733,15,6,0.8027129392004992,0.6487997121788119,0.21600258144795415,0.3360040155857064,True,0.4535376713429373,0.5772297635273748,,
PROGENy,TGFb,2.866298370328314,2.6676285522736856,0.3613390682720629,4,1.0,0.48231543717865455,1.3493334415441256,0.7338877938137716,15,6,0.967998244485967,1.2040656066006399,0.42143079252075866,0.5363664632082382,True,0.6171688233816033,0.7200302939452038,,
PROGENy,Androgen,2.2446809223989677,2.5342869891737014,0.4410011105884956,4,0.75,0.44306411277744784,1.2381710583239458,0.7318982035126693,15,6,0.7902375736084007,1.1124944183382715,0.477499847253372,0.557083155128934,True,0.6877608976835863,0.7406655821207853,,
PROGENy,MAPK,2.2829705511527654,0.3759557929656707,0.00896449986393605,4,1.0,-8.796593404092068,2.7039821757868245,0.020169531167988263,15,6,2.0728477750894267,0.3723737471681593,2.5978945488160456e-08,1.818526184171232e-07,False,0.0017390400425928967,0.006471748751699867,,
PROGENy,VEGF,2.8947849579730986,0.7916129250979076,0.03532351135718742,4,1.0,-1.1468264181744756,0.8065735501574144,0.20703440071995252,15,6,0.9118094826966429,0.5649699800904964,0.10654741692142483,0.21309483384284963,False,0.04327997279628559,0.10098660319133305,,
PROGENy,NFkB,3.5776838071089285,1.8972660696048131,0.15581403665390497,4,1.0,-5.5384613604742405,3.0269759290670146,0.11443437774381278,15,6,1.0064468351128333,1.6075866956490563,0.5312751351389956,0.5721424532266106,False,0.08963108513189372,0.1601859954690416,,
PROGENy,TNFa,4.225823698468166,1.8976337127103402,0.11232068776889886,4,1.0,-4.323124073504267,2.7335164025186782,0.16296912956193496,15,6,1.445680210536364,1.5588307271977675,0.3537120338807972,0.4951968474331161,False,0.09153485455373807,0.1601859954690416,,
PROGENy,p53,-0.06208868786994892,1.7939494539264338,0.9745647393673681,4,0.5,0.15876806230419538,0.8749130451631358,0.859126949112134,15,6,0.11633045985953128,0.7863760599395301,0.8823961561367663,0.8823961561367663,False,0.9859772774480445,0.9859772774480445,,
