network,column,source,activity,dataset,donor,disease,tissue,subtype,n_cells
PROGENy,CRSwNP_2|CRSwNP|Ethmoid|Serous_glandular,EGFR,-1.432997957108859,GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Serous_glandular,68
PROGENy,CRSwNP_3|CRSwNP|Ethmoid|Serous_glandular,EGFR,0.7108755577969417,GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Serous_glandular,490
PROGENy,CRSwNP_6|CRSwNP|Ethmoid|Serous_glandular,EGFR,1.4325322296441154,GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Serous_glandular,129
PROGENy,CRSwNP_1|CRSwNP|Nasal_polyp|Serous_glandular,EGFR,1.8026133065950194,GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Serous_glandular,216
PROGENy,CRSwNP_2|CRSwNP|Nasal_polyp|Serous_glandular,EGFR,-1.280939525792048,GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Serous_glandular,378
PROGENy,CRSwNP_3|CRSwNP|Nasal_polyp|Serous_glandular,EGFR,-1.0405922500410891,GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Serous_glandular,2327
PROGENy,CRSwNP_4|CRSwNP|Nasal_polyp|Serous_glandular,EGFR,3.175178248639166,GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Serous_glandular,427
PROGENy,CRSwNP_5|CRSwNP|Nasal_polyp|Serous_glandular,EGFR,-0.7199242467797531,GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Serous_glandular,339
PROGENy,CRSwNP_6|CRSwNP|Nasal_polyp|Serous_glandular,EGFR,1.7467901405676531,GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Serous_glandular,64
PROGENy,HC_1|Healthy|Ethmoid|Serous_glandular,Estrogen,0.12804344490674843,GSE235711,HC_1,Healthy,Ethmoid,Serous_glandular,1847
PROGENy,HC_2|Healthy|Ethmoid|Serous_glandular,Estrogen,-0.26831599143413576,GSE235711,HC_2,Healthy,Ethmoid,Serous_glandular,792
PROGENy,HC_3|Healthy|Ethmoid|Serous_glandular,Estrogen,-0.1332846228923956,GSE235711,HC_3,Healthy,Ethmoid,Serous_glandular,680
PROGENy,HC_4|Healthy|Ethmoid|Serous_glandular,Estrogen,0.9507742500896406,GSE235711,HC_4,Healthy,Ethmoid,Serous_glandular,816
PROGENy,HC_5|Healthy|Ethmoid|Serous_glandular,Estrogen,-1.8235730006957036,GSE235711,HC_5,Healthy,Ethmoid,Serous_glandular,242
PROGENy,CRSsNP_1|CRSsNP|Ethmoid|Serous_glandular,Estrogen,3.099881455894047,GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Serous_glandular,2785
PROGENy,CRSsNP_2|CRSsNP|Ethmoid|Serous_glandular,Estrogen,-0.2741166359887133,GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Serous_glandular,596
PROGENy,CRSsNP_3|CRSsNP|Ethmoid|Serous_glandular,Estrogen,-0.16630217183692805,GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Serous_glandular,875
PROGENy,CRSsNP_4|CRSsNP|Ethmoid|Serous_glandular,Estrogen,-0.9229479116123259,GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Serous_glandular,1945
