network,source,n_targets_measured_GSE235711,weight_l2_GSE235711,n_targets_measured_GSE276503,weight_l2_GSE276503
PROGENy,Androgen,485,83.2241973426102,452,79.26776210308391
PROGENy,EGFR,480,50.40399400049367,464,50.15907342462528
PROGENy,Estrogen,488,91.97728151119989,471,91.16526850910034
PROGENy,Hypoxia,487,103.76842433800563,486,103.71271617956562
PROGENy,JAK-STAT,475,103.30025387395985,444,103.44414172886385
PROGENy,MAPK,483,62.2593800809265,486,62.37057671591268
PROGENy,NFkB,488,132.79173210236692,476,131.84618662582375
PROGENy,PI3K,471,98.4271878451249,455,96.60963657137164
PROGENy,TGFb,486,71.11007010568424,445,70.01971396747213
PROGENy,TNFa,488,138.39998138522458,478,136.63434997406037
PROGENy,Trail,187,20.059261972996147,119,17.586482178124456
PROGENy,VEGF,473,69.73808217714276,440,69.9088615455689
PROGENy,WNT,266,25.100572809397548,223,23.51226794103827
PROGENy,p53,476,135.75355374104913,438,129.76807129346005
