paired_top_ranked_percentage,external_top_ranked_percentage,direction,overlap_p_value,minus_log10_p,p_value_underflow
2.99773389446423,2.99773389446423,Concordant decreases,5.760875621627797e-90,89.2395115011706,False
2.99773389446423,4.42214308837812,Concordant decreases,1.7354262761882834e-96,95.7605938311569,False
2.99773389446423,5.846552282292,Concordant decreases,2.5587729257466557e-100,99.5919682531792,False
2.99773389446423,7.27096147620589,Concordant decreases,1.1940960598043173e-93,92.9229607347101,False
2.99773389446423,8.69537067011978,Concordant decreases,4.6232731736389776e-89,88.3350504448057,False
2.99773389446423,10.1197798640337,Concordant decreases,2.614133221949632e-92,91.5826722835943,False
2.99773389446423,11.5441890579476,Concordant decreases,6.507700103010669e-89,88.1865724690432,False
2.99773389446423,12.9685982518614,Concordant decreases,1.3570639276351627e-84,83.8673996934123,False
2.99773389446423,14.3930074457753,Concordant decreases,7.529721962020005e-82,81.1232210599998,False
2.99773389446423,15.8174166396892,Concordant decreases,2.756175213722088e-81,80.5596931772093,False
2.99773389446423,17.2418258336031,Concordant decreases,7.3426568260312e-78,77.1341467689519,False
2.99773389446423,18.666235027517,Concordant decreases,4.971760833940406e-78,77.3034897712207,False
2.99773389446423,20.0906442214309,Concordant decreases,1.0935347717491908e-77,76.9611674028973,False
2.99773389446423,21.5150534153448,Concordant decreases,1.7196472408222973e-74,73.7645606327882,False
2.99773389446423,22.9394626092587,Concordant decreases,4.0264850247978276e-73,72.3950739117857,False
2.99773389446423,24.3638718031725,Concordant decreases,5.627769895244e-72,71.249663668037,False
2.99773389446423,25.7882809970864,Concordant decreases,4.492617738401906e-68,67.3475005324787,False
2.99773389446423,27.2126901910003,Concordant decreases,9.571656872832026e-64,63.0190128784776,False
2.99773389446423,28.6370993849142,Concordant decreases,4.4102584005045064e-61,60.3555359641318,False
2.99773389446423,30.0615085788281,Concordant decreases,5.74572970188511e-60,59.2406548085113,False
2.99773389446423,31.485917772742,Concordant decreases,5.778632304987096e-57,56.2381749388604,False
2.99773389446423,32.9103269666559,Concordant decreases,8.807348959660379e-57,56.0551547959524,False
2.99773389446423,34.3347361605698,Concordant decreases,9.10946483856108e-53,52.040507136143,False
2.99773389446423,35.7591453544836,Concordant decreases,3.876950399113882e-52,51.4115097552293,False
2.99773389446423,37.1835545483975,Concordant decreases,1.0693023985973012e-49,48.9708994589911,False
2.99773389446423,38.6079637423114,Concordant decreases,2.986630073285518e-49,48.5248185661739,False
2.99773389446423,40.0323729362253,Concordant decreases,2.10376698088729e-46,45.6770023655255,False
