celltype,spearman_rho,p_value,evaluable_gene_number,strong_gene_number,concordant_gene_number,directional_agreement_fraction,directional_agreement_percentage
Basal,0.195319087074962,3.27857905856253e-118,13739,2619,1745,0.666284841542574,66.6284841542574
Fibroblast,0.10946364499577,2.70676106062993e-38,13891,3425,2147,0.626861313868613,62.6861313868613
Goblet,0.0361417654988334,2.10921976939798e-05,13841,2970,1577,0.530976430976431,53.0976430976431
Secretory,0.295223021188289,2.6811569163875997e-268,13432,2188,1542,0.704753199268739,70.47531992687391
