"cell_min","celltype","n_paired","n_polyp","n_it","rho","p","strong","same_direction_rate"
"20","Basal",3,15,6,0.00550539816683155,0.454166599599839,3126,0.512156110044786
"20","Secretory",4,15,6,0.244697792355195,3.56688552937236e-250,3179,0.761874803397295
"20","Goblet",3,15,6,0.0208388285288906,0.00460513205213599,2886,0.577962577962578
"20","Fibroblast",4,15,6,0.210783563804225,1.07521960952474e-184,4525,0.674917127071823
"50","Basal",2,15,6,0.082839261254237,1.61545526315551e-29,2854,0.600560616678346
"50","Secretory",2,14,6,0.308724447005672,0,4375,0.808
"50","Goblet",2,15,6,0.0738619544871368,8.68197087343883e-24,2765,0.605786618444846
