"celltype","genes_common","spearman_rho","spearman_p","strong_both","strong_same_direction","strong_direction_rate"
"Basal",13739,0.195319087074962,3.27857905856253e-118,2619,1745,0.666284841542574
"Fibroblast",13891,0.10946364499577,2.70676106062993e-38,3425,2147,0.626861313868613
"Goblet",13841,0.0361417654988334,2.10921976939798e-05,2970,1577,0.530976430976431
"Secretory",13432,0.295223021188289,2.6811569163876e-268,2188,1542,0.704753199268739
