"dataset","module","genes_detected","case","control","n_case","n_control","hedges_g","median_difference","p","kind"
"GSE136825","LOO:CHRM3",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.42677737062876,-1.00266351646927,4.32995748059628e-07,"Single-gene leave-one-out"
"GSE36830","LOO:TCEAL2",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.96065351835766,-1.30708793539208,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:TCEAL2",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.43197097029866,-1.0136536743633,4.09427195973145e-07,"Single-gene leave-one-out"
"GSE36830","LOO:CA2",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.93984534363341,-1.31079347115401,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:CA2",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.4129820945662,-1.0053146071589,4.84120940242171e-07,"Single-gene leave-one-out"
"GSE36830","LOO:KCNN4",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.97721436646702,-1.30409057027319,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:KCNN4",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.42981002006562,-0.993466559752775,3.87098822911866e-07,"Single-gene leave-one-out"
"GSE36830","LOO:PHLDA1",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.97583352071497,-1.29613992774159,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:PHLDA1",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.42567396733063,-0.99778397442343,4.32995748059628e-07,"Single-gene leave-one-out"
"GSE36830","LOO:TCN1",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.9395757676531,-1.29054666497186,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:TCN1",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.42820270658551,-0.986179999113062,4.09427195973145e-07,"Single-gene leave-one-out"
"GSE36830","LOO:RNASE1",37,"CRSwNP_NP","CRSwNP_UT",6,6,-2.02338675073898,-1.32151713131889,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:RNASE1",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.45514493729469,-1.04779023843247,2.46183193130176e-07,"Single-gene leave-one-out"
"GSE36830","LOO:PKDCC",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.98985454621261,-1.31984246419178,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:PKDCC",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.42621654113527,-1.04025527611834,3.87098822911866e-07,"Single-gene leave-one-out"
"GSE36830","LOO:F5",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.96418390885027,-1.30701234062336,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:F5",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.44775775177157,-1.00918724356945,3.08975097592404e-07,"Single-gene leave-one-out"
"GSE36830","LOO:KRT14",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.93883250084544,-1.39562880327823,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:KRT14",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.42914786156247,-1.0408720686938,4.32995748059628e-07,"Single-gene leave-one-out"
"GSE36830","LOO:PLCB1",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.93726338895111,-1.28278613582357,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:PLCB1",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.42365442625539,-1.02305823872207,4.57870528214289e-07,"Single-gene leave-one-out"
"GSE36830","LOO:ADGRG6",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.9687629832357,-1.31494832637554,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:ADGRG6",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.40533329299471,-0.984587193021147,6.04393641856402e-07,"Single-gene leave-one-out"
