library,direction,term,overlap,query_size,term_size,p,genes,fdr
Reactome_2024,up,CDC42 GTPase Cycle,21,2300,143,0.5639623239683537,ABR;ARAP1;ARHGAP39;ARHGAP4;ARHGEF16;ARHGEF6;BAIAP2;DOCK6;DOCK8;ECT2;GMIP;PAK4;PAK6;PLEKHG1;RACGAP1;SRGAP2;SRGAP3;STEAP3;STOM;VANGL1;WDR81,0.9999999999999972
Reactome_2024,up,Autodegradation of Cdh1 by Cdh1 APC C,8,2300,54,0.5648349978914654,ANAPC10;CDC16;CDC26;PSMA4;PSMA5;PSMB5;SEM1;UBE2C,0.9999999999999972
Reactome_2024,up,SUMOylation of Chromatin Organization Proteins,8,2300,54,0.5648349978914654,CBX8;L3MBTL2;NDC1;NUP133;NUP50;NUP93;PCGF2;PHC2,0.9999999999999972
Reactome_2024,up,SLC Transporter Disorders,10,2300,68,0.5694100483024848,HK1;NDC1;NUP133;NUP50;NUP93;SLC34A2;SLC35A2;SLC5A5;SLC6A14;SLC7A7,0.9999999999999972
Reactome_2024,up,Ub-specific Processing Proteases,21,2300,144,0.5776314081627761,ARRB1;ARRB2;BECN1;CCNA2;CDC20;CDC25A;DDB2;MAT2B;OTUB1;PSMA4;PSMA5;PSMB5;RUVBL1;SEM1;SIAH2;USP18;USP19;USP2;USP30;USP49;VDAC3,0.9999999999999972
Reactome_2024,up,Glycerophospholipid Biosynthesis,15,2300,103,0.5799512152152462,ACP6;AGK;AGPAT1;CDS1;LCLAT1;MBOAT2;OSBPL5;PCTP;PCYT1B;PCYT2;PITPNM1;PLA2G10;PLB1;PLD4;SLC44A4,0.9999999999999972
Reactome_2024,up,Vif-mediated Degradation of APOBEC3G,6,2300,41,0.5855395662215481,APOBEC3G;PSMA4;PSMA5;PSMB5;RBX1;SEM1,0.9999999999999972
Reactome_2024,up,FCERI Mediated Ca+2 Mobilization,5,2300,34,0.5856822270508169,FCER1G;ITPR3;MS4A2;PLCG2;SYK,0.9999999999999972
Reactome_2024,up,Sensory Processing of Sound,7,2300,48,0.5859783548991693,CACNA1D;CLIC5;ESPN;GSN;MYO15A;MYO3A;PLS1,0.9999999999999972
Reactome_2024,up,RUNX1 Regulates Transcription of Genes Involved in Differentiation of HSCs,8,2300,55,0.5867736961643455,MYB;PSMA4;PSMA5;PSMB5;SEM1;SPI1;TCF3;TP73,0.9999999999999972
Reactome_2024,up,Nicotinate Metabolism,4,2300,27,0.5868377425517743,CD38;NADK;NMNAT1;PARP4,0.9999999999999972
Reactome_2024,up,RNA Polymerase III Transcription Initiation From Type 2 Promoter,4,2300,27,0.5868377425517743,GTF3C2;GTF3C3;POLR2H;POLR3K,0.9999999999999972
Reactome_2024,up,The Role of Nef in HIV-1 Replication and Disease Pathogenesis,4,2300,27,0.5868377425517743,AP2A1;ATP6V1H;CD4;HCK,0.9999999999999972
Reactome_2024,up,Phospholipid Metabolism,26,2300,179,0.5874646106388999,ACP6;AGK;AGPAT1;BMX;CDS1;FIG4;GDPD3;INPP4A;INPP4B;INPP5E;LCLAT1;MBOAT2;MTM1;OSBPL5;PCTP;PCYT1B;PCYT2;PI4KA;PIK3R5;PITPNM1;PLA2G10;PLB1;PLD4;PNPLA6;SLC44A4;TNFAIP8L1,0.9999999999999972
Reactome_2024,up,RHOB GTPase Cycle,9,2300,62,0.5877973937138777,ABR;ANLN;ARHGAP39;ARHGEF10L;CIT;ECT2;RACGAP1;STOM;VANGL1,0.9999999999999972
Reactome_2024,up,Phase II - Conjugation of Compounds,10,2300,69,0.588971484285292,BPNT1;CNDP2;GCLC;GSTP1;HPGDS;MAT2B;NAT1;SULT1C2;TPST1;UGT1A6,0.9999999999999972
Reactome_2024,up,"Adrenaline,noradrenaline Inhibits Insulin Secretion",3,2300,20,0.5899492564238473,ADRA2A;CACNA1D;GNAI2,0.9999999999999972
Reactome_2024,up,Basigin Interactions,3,2300,20,0.5899492564238473,ITGA3;SLC7A6;SLC7A7,0.9999999999999972
Reactome_2024,up,Class I Peroxisomal Membrane Protein Import,3,2300,20,0.5899492564238473,ACBD5;PEX16;PEX19,0.9999999999999972
Reactome_2024,up,Maturation of TCA Enzymes and Regulation of TCA Cycle,3,2300,20,0.5899492564238473,ISCA2;SDHA;SDHAF4,0.9999999999999972
Reactome_2024,up,Nef-mediates Down Modulation of Cell Surface Receptors by Recruiting Them to Clathrin Adapters,3,2300,20,0.5899492564238473,AP2A1;ATP6V1H;CD4,0.9999999999999972
Reactome_2024,up,PD-1 Signaling,3,2300,20,0.5899492564238473,CD4;CSK;PTPN6,0.9999999999999972
Reactome_2024,up,Sema4D Induced Cell Migration and Growth-Cone Collapse,3,2300,20,0.5899492564238473,LIMK2;MYL6;PLXNB1,0.9999999999999972
Reactome_2024,up,Vitamin B5 (Pantothenate) Metabolism,3,2300,20,0.5899492564238473,COASY;NUDT8;VNN2,0.9999999999999972
Reactome_2024,up,PKR-mediated Signaling,9,2300,63,0.607975627799787,CDK1;DUS2;FAAP100;FAAP20;FAAP24;FANCF;MAP2K6;TUBA1A;TUBB2B,0.9999999999999972
Reactome_2024,up,G2 M DNA Damage Checkpoint,8,2300,56,0.6081680253402177,BRCA1;CCNB1;CDK1;RFC5;RMI1;RMI2;RPA3;UBE2V2,0.9999999999999972
Reactome_2024,up,PI Metabolism,11,2300,77,0.6084997761527833,BMX;FIG4;GDPD3;INPP4A;INPP4B;INPP5E;MTM1;PI4KA;PIK3R5;PNPLA6;TNFAIP8L1,0.9999999999999972
Reactome_2024,up,FBXL7 Down-Regulates AURKA During Mitotic Entry and in Early Mitosis,6,2300,42,0.6101961357540459,FBXL7;PSMA4;PSMA5;PSMB5;RBX1;SEM1,0.9999999999999972
