omitted_donor,n_pairs,genes,rho_external,rho_p,strong_genes,strong_same_direction,locked_available,locked_negative_paired,locked_median_paired_effect
none_full,4,17825,0.2745700599648675,9.611689598051534e-306,3240,0.8228395061728395,40,40,-2.3462830001718102
CRSwNP_1,3,17825,0.1811567370425365,2.3713356023120755e-131,2992,0.7249331550802139,40,40,-2.168487001798009
CRSwNP_2,3,17825,0.3118219429495782,0.0,3678,0.8382272974442632,40,40,-2.6194318605072646
CRSwNP_3,3,17825,0.27324050880050205,1.077411046413408e-302,3748,0.8145677694770544,40,40,-2.5778118769210376
CRSwNP_6,3,17825,0.2506841561797742,1.5297347051433132e-253,3470,0.8190201729106629,40,40,-2.2400586476623334
