omitted_donor,gene,paired,external
CRSwNP_2,ODAM,-4.8309723328441425,-3.7691727625103515
CRSwNP_2,PADI2,-2.064649697086152,-1.5963885436334833
CRSwNP_2,PHLDA1,-2.5673801149419035,-2.693062429260446
CRSwNP_2,PKDCC,-4.1374463100335435,-2.0075053467672914
CRSwNP_2,PLCB1,-2.6487198235145772,-2.97095645480898
CRSwNP_2,PPP1R1B,-3.388438618282142,-3.6598857810485144
CRSwNP_2,QPRT,-2.2454673236019,-1.666481413001138
CRSwNP_2,RNASE1,-3.143957949021376,-2.0557341408732537
CRSwNP_2,RNF128,-2.467402385927099,-1.7869982331388239
CRSwNP_2,RTN1,-4.15730302186751,-1.6452313243314298
CRSwNP_2,SLC22A3,-3.2301857733326798,-2.7938137930689675
CRSwNP_2,SLC37A2,-2.9160605836672517,-2.5790254250657556
CRSwNP_2,SLCO1A2,-2.3936378347161047,-1.8382357337682262
CRSwNP_2,SMAD9,-1.4450509070865305,-1.7922609184984994
CRSwNP_2,SOD3,-1.8447660362790232,-1.7917174380404717
CRSwNP_2,ST3GAL5,-2.108197844595796,-1.6426219394615567
CRSwNP_2,STATH,-9.009517127338158,-8.01433607877914
CRSwNP_2,TBX3,-1.5260346789745236,-2.1793646104436792
CRSwNP_2,TCEAL2,-3.0855077749475033,-2.9723228495658915
CRSwNP_2,TCN1,-2.354991766355642,-2.0815123200869152
CRSwNP_2,TESC,-2.9055653908379164,-2.9405584663593003
CRSwNP_3,ADGRG6,-2.81659107910129,-1.9081544039289353
CRSwNP_3,AMOTL1,-2.447548480339688,-2.2923888131796533
CRSwNP_3,ANO1,-2.268644428420531,-1.6509893710025292
CRSwNP_3,AZGP1,-4.713030366566233,-3.920736526555655
CRSwNP_3,CA2,-2.242811210000743,-3.2561948676378205
CRSwNP_3,CHI3L2,-1.5405662583232533,-3.3696460740557286
CRSwNP_3,CHRM3,-2.7643253375231596,-2.3518548824705405
CRSwNP_3,CHST1,-2.265818872183386,-1.6626484432848716
CRSwNP_3,DMBT1,-6.136065675103752,-4.122261086068283
CRSwNP_3,F5,-3.239107781081225,-1.9830612569776407
CRSwNP_3,GJC3,-3.58889255863691,-3.5184766872217734
CRSwNP_3,GRIA2,-2.4027987378050693,-1.8688392122707642
CRSwNP_3,HP,-6.406889187724336,-5.557701766586934
CRSwNP_3,KCNMA1,-1.7422520571234645,-1.7395072434129526
CRSwNP_3,KCNN4,-3.52563953087159,-2.1938863351154874
CRSwNP_3,KRT14,-1.981965323468076,-4.042587405890661
CRSwNP_3,LINC01829,-3.4696275794796256,-2.8554241628539487
CRSwNP_3,NOSTRIN,-2.69753138597593,-2.4956478915708793
CRSwNP_3,NPY1R,-2.809826949368496,-2.4266135472779062
CRSwNP_3,ODAM,-4.423005276210012,-3.7691727625103515
CRSwNP_3,PADI2,-2.149385111006669,-1.5963885436334833
CRSwNP_3,PHLDA1,-2.165877603877106,-2.693062429260446
CRSwNP_3,PKDCC,-3.4790605361778035,-2.0075053467672914
CRSwNP_3,PLCB1,-2.007911777988296,-2.97095645480898
CRSwNP_3,PPP1R1B,-3.2620954520185528,-3.6598857810485144
CRSwNP_3,QPRT,-1.9770039355589004,-1.666481413001138
CRSwNP_3,RNASE1,-3.1990687572643046,-2.0557341408732537
CRSwNP_3,RNF128,-1.9160066289568984,-1.7869982331388239
CRSwNP_3,RTN1,-3.9605700082783137,-1.6452313243314298
CRSwNP_3,SLC22A3,-2.5542224809432486,-2.7938137930689675
CRSwNP_3,SLC37A2,-2.877523554193475,-2.5790254250657556
CRSwNP_3,SLCO1A2,-2.653279770117514,-1.8382357337682262
CRSwNP_3,SMAD9,-1.963029677333325,-1.7922609184984994
CRSwNP_3,SOD3,-2.1458250439296767,-1.7917174380404717
CRSwNP_3,ST3GAL5,-2.336469322110976,-1.6426219394615567
CRSwNP_3,STATH,-9.057817148695031,-8.01433607877914
CRSwNP_3,TBX3,-2.2020128532182253,-2.1793646104436792
CRSwNP_3,TCEAL2,-2.6014012728988267,-2.9723228495658915
CRSwNP_3,TCN1,-2.4402807204389676,-2.0815123200869152
CRSwNP_3,TESC,-2.0244225990416753,-2.9405584663593003
CRSwNP_6,ADGRG6,-2.236891149376627,-1.9081544039289353
CRSwNP_6,AMOTL1,-1.2930400643817472,-2.2923888131796533
CRSwNP_6,ANO1,-2.4179071367767992,-1.6509893710025292
CRSwNP_6,AZGP1,-3.9181649020974914,-3.920736526555655
CRSwNP_6,CA2,-2.7657536083011727,-3.2561948676378205
CRSwNP_6,CHI3L2,-1.1431489672173576,-3.3696460740557286
CRSwNP_6,CHRM3,-2.2318591749562713,-2.3518548824705405
CRSwNP_6,CHST1,-1.8957937002891285,-1.6626484432848716
CRSwNP_6,DMBT1,-4.216238560421311,-4.122261086068283
CRSwNP_6,F5,-2.24322614594804,-1.9830612569776407
CRSwNP_6,GJC3,-2.413395709896325,-3.5184766872217734
CRSwNP_6,GRIA2,-1.6583310823751625,-1.8688392122707642
CRSwNP_6,HP,-5.000115303588676,-5.557701766586934
CRSwNP_6,KCNMA1,-1.7287075081586878,-1.7395072434129526
CRSwNP_6,KCNN4,-2.5380101557332186,-2.1938863351154874
CRSwNP_6,KRT14,-1.7994803712529357,-4.042587405890661
CRSwNP_6,LINC01829,-3.1778954503024828,-2.8554241628539487
CRSwNP_6,NOSTRIN,-2.497944772450045,-2.4956478915708793
CRSwNP_6,NPY1R,-2.5440353334840693,-2.4266135472779062
CRSwNP_6,ODAM,-3.8562552209871357,-3.7691727625103515
CRSwNP_6,PADI2,-1.0912810769841808,-1.5963885436334833
CRSwNP_6,PHLDA1,-1.8564869811090068,-2.693062429260446
CRSwNP_6,PKDCC,-3.1157553602253096,-2.0075053467672914
CRSwNP_6,PLCB1,-1.0038631521237023,-2.97095645480898
CRSwNP_6,PPP1R1B,-3.2950252719476354,-3.6598857810485144
CRSwNP_6,QPRT,-1.3504127640993584,-1.666481413001138
CRSwNP_6,RNASE1,-2.975380839535445,-2.0557341408732537
CRSwNP_6,RNF128,-1.6819600865339719,-1.7869982331388239
CRSwNP_6,RTN1,-2.9805507771906883,-1.6452313243314298
CRSwNP_6,SLC22A3,-2.2697668145960095,-2.7938137930689675
CRSwNP_6,SLC37A2,-2.015566305207854,-2.5790254250657556
CRSwNP_6,SLCO1A2,-2.0316011214616614,-1.8382357337682262
CRSwNP_6,SMAD9,-1.6390663514289816,-1.7922609184984994
CRSwNP_6,SOD3,-1.5551949722588099,-1.7917174380404717
CRSwNP_6,ST3GAL5,-1.1010124641565462,-1.6426219394615567
CRSwNP_6,STATH,-6.4458807582987525,-8.01433607877914
CRSwNP_6,TBX3,-1.600258167968195,-2.1793646104436792
CRSwNP_6,TCEAL2,-2.3560002796280055,-2.9723228495658915
CRSwNP_6,TCN1,-2.365753371355542,-2.0815123200869152
CRSwNP_6,TESC,-0.15854116722756562,-2.9405584663593003
