dataset,donor,disease,tissue,subtype,n_cells,n_secretory_candidates,median_ig_fraction,n_classified_secretory,proportion_of_candidates,proportion_of_classified,proportion,classification_coverage,logit_candidate_fraction
GSE261706,AR2,AR,Inferior_turbinate,Serous_glandular,1272,5407,0.0,5407,0.2352506010726835,0.2352506010726835,0.2352506010726835,1.0,-1.1786247707072832
GSE261706,AR2,AR,Inferior_turbinate,Surface_club,7,5407,0.0,5407,0.0012946180876641,0.0012946180876641,0.0012946180876641,1.0,-6.5793438003162645
GSE261706,AR2,AR,Inferior_turbinate,Transitional_secretory,1699,5407,0.0,5407,0.314222304420196,0.314222304420196,0.314222304420196,1.0,-0.7802933920404419
GSE261706,CON1,Healthy,Inferior_turbinate,Ambiguous_secretory,96,3038,0.0,3038,0.031599736668861,0.031599736668861,0.031599736668861,1.0,-3.417471830789492
GSE261706,CON1,Healthy,Inferior_turbinate,Goblet,17,3038,0.0,3038,0.0055957867017774,0.0055957867017774,0.0055957867017774,1.0,-5.151307794872145
GSE261706,CON1,Healthy,Inferior_turbinate,Inflammatory_secretory,15,3038,0.0,3038,0.0049374588545095,0.0049374588545095,0.0049374588545095,1.0,-5.273330355788066
GSE261706,CON1,Healthy,Inferior_turbinate,Mucous_glandular,13,3038,0.0,3038,0.0042791310072416,0.0042791310072416,0.0042791310072416,1.0,-5.412141960617992
GSE261706,CON1,Healthy,Inferior_turbinate,Serous_glandular,677,3038,0.0,3038,0.2228439763001975,0.2228439763001975,0.2228439763001975,1.0,-1.2486427365823158
GSE261706,CON1,Healthy,Inferior_turbinate,Surface_club,28,3038,0.0,3038,0.0092165898617511,0.0092165898617511,0.0092165898617511,1.0,-4.659957369629898
GSE261706,CON1,Healthy,Inferior_turbinate,Transitional_secretory,2192,3038,0.0,3038,0.7215273206056616,0.7215273206056616,0.7215273206056616,1.0,0.9516875226731478
GSE261706,CON2,Healthy,Inferior_turbinate,Ambiguous_secretory,625,9362,0.0,9362,0.0667592394787438,0.0667592394787438,0.0667592394787438,1.0,-2.6368280566350997
GSE261706,CON2,Healthy,Inferior_turbinate,Goblet,81,9362,0.0,9362,0.0086519974364452,0.0086519974364452,0.0086519974364452,1.0,-4.735175430402461
GSE261706,CON2,Healthy,Inferior_turbinate,Inflammatory_secretory,83,9362,0.0,9362,0.0088656270027771,0.0088656270027771,0.0088656270027771,1.0,-4.71071631316155
GSE261706,CON2,Healthy,Inferior_turbinate,Mucous_glandular,67,9362,0.0,9362,0.0071565904721213,0.0071565904721213,0.0071565904721213,1.0,-4.925158093191787
GSE261706,CON2,Healthy,Inferior_turbinate,Serous_glandular,1850,9362,0.0,9362,0.1976073488570818,0.1976073488570818,0.1976073488570818,1.0,-1.4011124270172524
GSE261706,CON2,Healthy,Inferior_turbinate,Surface_club,744,9362,0.0,9362,0.0794701986754966,0.0794701986754966,0.0794701986754966,1.0,-2.4489534824703822
GSE261706,CON2,Healthy,Inferior_turbinate,Transitional_secretory,5912,9362,0.0,9362,0.6314889980773339,0.6314889980773339,0.6314889980773339,1.0,0.5385496057395318
GSE276503,CRSIT12,CRSwNP,Inferior_turbinate,Ambiguous_secretory,161,3402,0.0,3402,0.0473251028806584,0.0473251028806584,0.0473251028806584,1.0,-2.999286321952339
GSE276503,CRSIT12,CRSwNP,Inferior_turbinate,Goblet,17,3402,0.0,3402,0.0049970605526161,0.0049970605526161,0.0049970605526161,1.0,-5.265056003996231
GSE276503,CRSIT12,CRSwNP,Inferior_turbinate,Inflammatory_secretory,29,3402,0.0,3402,0.0085243974132863,0.0085243974132863,0.0085243974132863,1.0,-4.739315796721706
GSE276503,CRSIT12,CRSwNP,Inferior_turbinate,Mucous_glandular,134,3402,0.0,3402,0.0393885949441505,0.0393885949441505,0.0393885949441505,1.0,-3.1905222440108902
GSE276503,CRSIT12,CRSwNP,Inferior_turbinate,Serous_glandular,1298,3402,0.0,3402,0.3815402704291593,0.3815402704291593,0.3815402704291593,1.0,-0.48286815710782216
GSE276503,CRSIT12,CRSwNP,Inferior_turbinate,Surface_club,12,3402,0.0,3402,0.0035273368606701,0.0035273368606701,0.0035273368606701,1.0,-5.603004037815642
GSE276503,CRSIT12,CRSwNP,Inferior_turbinate,Transitional_secretory,1751,3402,0.0,3402,0.5146972369194591,0.5146972369194591,0.5146972369194591,1.0,0.05878859780669708
GSE276503,CRSIT13,CRSwNP,Inferior_turbinate,Ambiguous_secretory,135,3705,0.0,3705,0.0364372469635627,0.0364372469635627,0.0364372469635627,1.0,-3.271489280669409
GSE276503,CRSIT13,CRSwNP,Inferior_turbinate,Goblet,14,3705,0.0,3705,0.0037786774628879,0.0037786774628879,0.0037786774628879,1.0,-5.539639509072692
GSE276503,CRSIT13,CRSwNP,Inferior_turbinate,Inflammatory_secretory,25,3705,0.0,3705,0.0067476383265856,0.0067476383265856,0.0067476383265856,1.0,-4.97212543933438
GSE276503,CRSIT13,CRSwNP,Inferior_turbinate,Mucous_glandular,71,3705,0.0,3705,0.0191632928475033,0.0191632928475033,0.0191632928475033,1.0,-3.9285293792247282
GSE276503,CRSIT13,CRSwNP,Inferior_turbinate,Serous_glandular,1087,3705,0.0,3705,0.293387314439946,0.293387314439946,0.293387314439946,1.0,-0.8787201507567032
GSE276503,CRSIT13,CRSwNP,Inferior_turbinate,Surface_club,3,3705,0.0,3705,0.0008097165991902,0.0008097165991902,0.0008097165991902,1.0,-6.964000577646586
GSE276503,CRSIT13,CRSwNP,Inferior_turbinate,Transitional_secretory,2370,3705,0.0,3705,0.6396761133603239,0.6396761133603239,0.6396761133603239,1.0,0.5737951497921573
GSE276503,CRSIT16,CRSwNP,Inferior_turbinate,Ambiguous_secretory,23,1473,0.0,1473,0.0156143923964697,0.0156143923964697,0.0156143923964697,1.0,-4.122663182411345
GSE276503,CRSIT16,CRSwNP,Inferior_turbinate,Goblet,3,1473,0.0,1473,0.0020366598778004,0.0020366598778004,0.0020366598778004,1.0,-6.040594789498682
GSE276503,CRSIT16,CRSwNP,Inferior_turbinate,Inflammatory_secretory,24,1473,0.0,1473,0.0162932790224032,0.0162932790224032,0.0162932790224032,1.0,-4.080300830811029
GSE276503,CRSIT16,CRSwNP,Inferior_turbinate,Mucous_glandular,76,1473,0.0,1473,0.0515953835709436,0.0515953835709436,0.0515953835709436,1.0,-2.905149464196764
GSE276503,CRSIT16,CRSwNP,Inferior_turbinate,Serous_glandular,1114,1473,0.0,1473,0.7562797012898846,0.7562797012898846,0.7562797012898846,1.0,1.1314469756648224
GSE276503,CRSIT16,CRSwNP,Inferior_turbinate,Surface_club,0,1473,,1473,0.0,0.0,0.0,1.0,-7.988542982737695
GSE276503,CRSIT16,CRSwNP,Inferior_turbinate,Transitional_secretory,233,1473,0.0,1473,0.1581805838424983,0.1581805838424983,0.1581805838424983,1.0,-1.6700877260229037
GSE276503,CRSIT17,CRSwNP,Inferior_turbinate,Ambiguous_secretory,51,2126,0.0,2126,0.0239887111947318,0.0239887111947318,0.0239887111947318,1.0,-3.696375559823403
GSE276503,CRSIT17,CRSwNP,Inferior_turbinate,Goblet,4,2126,0.0,2126,0.0018814675446848,0.0018814675446848,0.0018814675446848,1.0,-6.156272521409228
GSE276503,CRSIT17,CRSwNP,Inferior_turbinate,Inflammatory_secretory,1,2126,0.0002232142857142,2126,0.0004703668861712,0.0004703668861712,0.0004703668861712,1.0,-7.256297239690681
GSE276503,CRSIT17,CRSwNP,Inferior_turbinate,Mucous_glandular,210,2126,0.0,2126,0.0987770460959548,0.0987770460959548,0.0987770460959548,1.0,-2.208770231698174
GSE276503,CRSIT17,CRSwNP,Inferior_turbinate,Serous_glandular,1710,2126,0.0,2126,0.8043273753527752,0.8043273753527752,0.8043273753527752,1.0,1.4126545428107617
GSE276503,CRSIT17,CRSwNP,Inferior_turbinate,Surface_club,0,2126,,2126,0.0,0.0,0.0,1.0,-8.355379895253634
GSE276503,CRSIT17,CRSwNP,Inferior_turbinate,Transitional_secretory,150,2126,0.0,2126,0.070555032925682,0.070555032925682,0.070555032925682,1.0,-2.57511979854781
GSE276503,CRSIT18,CRSwNP,Inferior_turbinate,Ambiguous_secretory,48,1848,0.0,1848,0.0259740259740259,0.0259740259740259,0.0259740259740259,1.0,-3.6142558851454925
GSE276503,CRSIT18,CRSwNP,Inferior_turbinate,Goblet,2,1848,0.0,1848,0.001082251082251,0.001082251082251,0.001082251082251,1.0,-6.6047565024184625
GSE276503,CRSIT18,CRSwNP,Inferior_turbinate,Inflammatory_secretory,0,1848,,1848,0.0,0.0,0.0,1.0,-8.215276958936633
GSE276503,CRSIT18,CRSwNP,Inferior_turbinate,Mucous_glandular,184,1848,0.0,1848,0.0995670995670995,0.0995670995670995,0.0995670995670995,1.0,-2.1996305935344975
GSE276503,CRSIT18,CRSwNP,Inferior_turbinate,Serous_glandular,1490,1848,0.0,1848,0.8062770562770563,0.8062770562770563,0.8062770562770563,1.0,1.4249382530784513
GSE276503,CRSIT18,CRSwNP,Inferior_turbinate,Surface_club,1,1848,0.0,1848,0.0005411255411255,0.0005411255411255,0.0005411255411255,1.0,-7.116123544714192
GSE276503,CRSIT18,CRSwNP,Inferior_turbinate,Transitional_secretory,123,1848,0.0,1848,0.0665584415584415,0.0665584415584415,0.0665584415584415,1.0,-2.637030986470026
GSE276503,CRSIT19,CRSwNP,Inferior_turbinate,Ambiguous_secretory,48,1334,0.0,1334,0.0359820089955022,0.0359820089955022,0.0359820089955022,1.0,-3.2781168337783613
GSE276503,CRSIT19,CRSwNP,Inferior_turbinate,Goblet,2,1334,0.0001244709982574,1334,0.0014992503748125,0.0014992503748125,0.0014992503748125,1.0,-6.278521424165844
GSE276503,CRSIT19,CRSwNP,Inferior_turbinate,Inflammatory_secretory,0,1334,,1334,0.0,0.0,0.0,1.0,-7.889459149404524
GSE276503,CRSIT19,CRSwNP,Inferior_turbinate,Mucous_glandular,170,1334,0.0,1334,0.1274362818590704,0.1274362818590704,0.1274362818590704,1.0,-1.921311792600824
GSE276503,CRSIT19,CRSwNP,Inferior_turbinate,Serous_glandular,986,1334,0.0,1334,0.7391304347826086,0.7391304347826086,0.7391304347826086,1.0,1.0405250952620912
GSE276503,CRSIT19,CRSwNP,Inferior_turbinate,Surface_club,0,1334,,1334,0.0,0.0,0.0,1.0,-7.889459149404524
GSE276503,CRSIT19,CRSwNP,Inferior_turbinate,Transitional_secretory,128,1334,0.0,1334,0.095952023988006,0.095952023988006,0.095952023988006,1.0,-2.2395499807298123
GSE276503,CRSMT21,CRSwNP,Middle_turbinate,Ambiguous_secretory,52,3863,0.0,3863,0.013461040641988,0.013461040641988,0.013461040641988,1.0,-4.28496492183075
GSE276503,CRSMT21,CRSwNP,Middle_turbinate,Goblet,0,3863,,3863,0.0,0.0,0.0,1.0,-8.952475967933584
GSE276503,CRSMT21,CRSwNP,Middle_turbinate,Inflammatory_secretory,13,3863,0.0,3863,0.003365260160497,0.003365260160497,0.003365260160497,1.0,-5.653268603534921
GSE276503,CRSMT21,CRSwNP,Middle_turbinate,Mucous_glandular,236,3863,0.0,3863,0.0610924152213305,0.0610924152213305,0.0610924152213305,1.0,-2.7303507768263553
GSE276503,CRSMT21,CRSwNP,Middle_turbinate,Serous_glandular,3383,3863,0.0,3863,0.8757442402278022,0.8757442402278022,0.8757442402278022,1.0,1.9518387272619333
GSE276503,CRSMT21,CRSwNP,Middle_turbinate,Surface_club,0,3863,,3863,0.0,0.0,0.0,1.0,-8.952475967933584
GSE276503,CRSMT21,CRSwNP,Middle_turbinate,Transitional_secretory,179,3863,0.0,3863,0.046337043748382,0.046337043748382,0.046337043748382,1.0,-3.0217149022787204
GSE276503,CRSMT23,CRSwNP,Middle_turbinate,Ambiguous_secretory,17,295,0.0,295,0.0576271186440678,0.0576271186440678,0.0576271186440678,1.0,-2.7672171784378703
GSE276503,CRSMT23,CRSwNP,Middle_turbinate,Goblet,1,295,0.0,295,0.0033898305084745,0.0033898305084745,0.0033898305084745,1.0,-5.2798138949834765
GSE276503,CRSMT23,CRSwNP,Middle_turbinate,Inflammatory_secretory,25,295,0.0,295,0.0847457627118644,0.0847457627118644,0.0847457627118644,1.0,-2.361593646122156
GSE276503,CRSMT23,CRSwNP,Middle_turbinate,Mucous_glandular,5,295,0.0,295,0.0169491525423728,0.0169491525423728,0.0169491525423728,1.0,-3.9668554840535406
GSE276503,CRSMT23,CRSwNP,Middle_turbinate,Serous_glandular,192,295,0.0,295,0.6508474576271186,0.6508474576271186,0.6508474576271186,1.0,0.620524541022415
GSE276503,CRSMT23,CRSwNP,Middle_turbinate,Surface_club,1,295,0.0,295,0.0033898305084745,0.0033898305084745,0.0033898305084745,1.0,-5.2798138949834765
GSE276503,CRSMT23,CRSwNP,Middle_turbinate,Transitional_secretory,54,295,0.0,295,0.1830508474576271,0.1830508474576271,0.1830508474576271,1.0,-1.488668771423429
GSE276503,CRSMT24,CRSwNP,Middle_turbinate,Ambiguous_secretory,7,182,0.0,181,0.0384615384615384,0.0386740331491712,0.0386740331491712,0.9945054945054945,-3.152736022363656
GSE276503,CRSMT24,CRSwNP,Middle_turbinate,Goblet,1,182,0.0,181,0.0054945054945054,0.005524861878453,0.005524861878453,0.9945054945054945,-4.795790545596741
GSE276503,CRSMT24,CRSwNP,Middle_turbinate,Inflammatory_secretory,14,182,0.0,181,0.0769230769230769,0.0773480662983425,0.0773480662983425,0.9945054945054945,-2.452787100365888
GSE276503,CRSMT24,CRSwNP,Middle_turbinate,Mucous_glandular,11,182,0.0,181,0.0604395604395604,0.0607734806629834,0.0607734806629834,0.9945054945054945,-2.7022362312367902
GSE276503,CRSMT24,CRSwNP,Middle_turbinate,Serous_glandular,111,182,0.0,181,0.6098901098901099,0.6132596685082873,0.6132596685082873,0.9945054945054945,0.44432714120021155
GSE276503,CRSMT24,CRSwNP,Middle_turbinate,Surface_club,3,182,0.0,181,0.0164835164835164,0.0165745856353591,0.0165745856353591,0.9945054945054945,-3.9374122394329656
GSE276503,CRSMT24,CRSwNP,Middle_turbinate,Transitional_secretory,34,182,0.0,181,0.1868131868131868,0.1878453038674033,0.1878453038674033,0.9945054945054945,-1.4596256342054403
GSE276503,CRSMT25,CRSwNP,Middle_turbinate,Ambiguous_secretory,76,2965,0.0,2965,0.0256323777403035,0.0256323777403035,0.0256323777403035,1.0,-3.6315480149253427
GSE276503,CRSMT25,CRSwNP,Middle_turbinate,Goblet,11,2965,0.0,2965,0.0037099494097807,0.0037099494097807,0.0037099494097807,1.0,-5.5487376754165245
GSE276503,CRSMT25,CRSwNP,Middle_turbinate,Inflammatory_secretory,11,2965,0.0,2965,0.0037099494097807,0.0037099494097807,0.0037099494097807,1.0,-5.5487376754165245
GSE276503,CRSMT25,CRSwNP,Middle_turbinate,Mucous_glandular,49,2965,0.0,2965,0.0165261382799325,0.0165261382799325,0.0165261382799325,1.0,-4.076166876619047
GSE276503,CRSMT25,CRSwNP,Middle_turbinate,Serous_glandular,2557,2965,0.0,2965,0.8623946037099494,0.8623946037099494,0.8623946037099494,1.0,1.8342935835257235
GSE276503,CRSMT25,CRSwNP,Middle_turbinate,Surface_club,1,2965,0.0,2965,0.0003372681281618,0.0003372681281618,0.0003372681281618,1.0,-7.588998555039258
GSE276503,CRSMT25,CRSwNP,Middle_turbinate,Transitional_secretory,260,2965,0.0,2965,0.087689713322091,0.087689713322091,0.087689713322091,1.0,-2.3404391558893685
GSE276503,CRSMT26,CRSwNP,Middle_turbinate,Ambiguous_secretory,65,2456,0.0,2456,0.0264657980456026,0.0264657980456026,0.0264657980456026,1.0,-3.597625920479145
GSE276503,CRSMT26,CRSwNP,Middle_turbinate,Goblet,9,2456,0.0,2456,0.0036644951140065,0.0036644951140065,0.0036644951140065,1.0,-5.5515305757981706
GSE276503,CRSMT26,CRSwNP,Middle_turbinate,Inflammatory_secretory,7,2456,0.0,2456,0.0028501628664495,0.0028501628664495,0.0028501628664495,1.0,-5.788736180536365
GSE276503,CRSMT26,CRSwNP,Middle_turbinate,Mucous_glandular,51,2456,0.0,2456,0.0207654723127035,0.0207654723127035,0.0207654723127035,1.0,-3.843931253469818
GSE276503,CRSMT26,CRSwNP,Middle_turbinate,Serous_glandular,2078,2456,0.0,2456,0.8460912052117264,0.8460912052117264,0.8460912052117264,1.0,1.7031856858151884
GSE276503,CRSMT26,CRSwNP,Middle_turbinate,Surface_club,1,2456,0.0,2456,0.0004071661237785,0.0004071661237785,0.0004071661237785,1.0,-7.400620577371135
GSE276503,CRSMT26,CRSwNP,Middle_turbinate,Transitional_secretory,245,2456,0.0,2456,0.0997557003257329,0.0997557003257329,0.0997557003257329,1.0,-2.198129350073806
GSE276503,CRSMT27,CRSwNP,Middle_turbinate,Ambiguous_secretory,66,2390,0.0,2390,0.0276150627615062,0.0276150627615062,0.0276150627615062,1.0,-3.554058293468831
GSE276503,CRSMT27,CRSwNP,Middle_turbinate,Goblet,7,2390,0.0,2390,0.002928870292887,0.002928870292887,0.002928870292887,1.0,-5.761422254102616
GSE276503,CRSMT27,CRSwNP,Middle_turbinate,Inflammatory_secretory,11,2390,0.0,2390,0.004602510460251,0.004602510460251,0.004602510460251,1.0,-5.33229862519196
GSE276503,CRSMT27,CRSwNP,Middle_turbinate,Mucous_glandular,58,2390,0.0,2390,0.0242677824267782,0.0242677824267782,0.0242677824267782,1.0,-3.685669178483688
GSE276503,CRSMT27,CRSwNP,Middle_turbinate,Serous_glandular,2002,2390,0.0,2390,0.8376569037656904,0.8376569037656904,0.8376569037656904,1.0,1.6398585091348121
GSE276503,CRSMT27,CRSwNP,Middle_turbinate,Surface_club,1,2390,0.0,2390,0.000418410041841,0.000418410041841,0.000418410041841,1.0,-7.373374309910049
GSE276503,CRSMT27,CRSwNP,Middle_turbinate,Transitional_secretory,245,2390,0.0,2390,0.102510460251046,0.102510460251046,0.102510460251046,1.0,-2.1678309571970042
GSE276503,CRSNP31,CRSwNP,Nasal_polyp,Ambiguous_secretory,68,977,0.0014542833946532,976,0.0696008188331627,0.0696721311475409,0.0696721311475409,0.9989764585465711,-2.5860612526899978
GSE276503,CRSNP31,CRSwNP,Nasal_polyp,Goblet,35,977,0.0029239766081871,976,0.0358239508700102,0.0358606557377049,0.0358606557377049,0.9989764585465711,-3.2790032228407955
GSE276503,CRSNP31,CRSwNP,Nasal_polyp,Inflammatory_secretory,93,977,0.0013037155894298,976,0.0951893551688843,0.0952868852459016,0.0952868852459016,0.9989764585465711,-2.2470610773051987
GSE276503,CRSNP31,CRSwNP,Nasal_polyp,Mucous_glandular,0,977,,976,0.0,0.0,0.0,0.9989764585465711,-7.578145472419466
GSE276503,CRSNP31,CRSwNP,Nasal_polyp,Serous_glandular,546,977,0.0016903523132791,976,0.5588536335721597,0.5594262295081968,0.5594262295081968,0.9989764585465711,0.23626679709311044
GSE276503,CRSNP31,CRSwNP,Nasal_polyp,Surface_club,0,977,,976,0.0,0.0,0.0,0.9989764585465711,-7.578145472419466
GSE276503,CRSNP31,CRSwNP,Nasal_polyp,Transitional_secretory,234,977,0.0015565263079982,976,0.2395087001023541,0.2397540983606557,0.2397540983606557,0.9989764585465711,-1.1539131780138758
GSE276503,CRSNP32,CRSwNP,Nasal_polyp,Ambiguous_secretory,61,929,0.0010547678175652,928,0.0656620021528525,0.0657327586206896,0.0657327586206896,0.9989235737351991,-2.647730410868687
GSE276503,CRSNP32,CRSwNP,Nasal_polyp,Goblet,59,929,0.0011124243899047,928,0.0635091496232508,0.0635775862068965,0.0635775862068965,0.9989235737351991,-2.6830914466566598
GSE276503,CRSNP32,CRSwNP,Nasal_polyp,Inflammatory_secretory,112,929,0.0008938912003691,928,0.1205597416576964,0.1206896551724138,0.1206896551724138,0.9989235737351991,-1.9832976811269336
GSE276503,CRSNP32,CRSwNP,Nasal_polyp,Mucous_glandular,2,929,0.0007202278502312,928,0.0021528525296017,0.0021551724137931,0.0021551724137931,0.9989235737351991,-5.916202062607435
GSE276503,CRSNP32,CRSwNP,Nasal_polyp,Serous_glandular,436,929,0.001092198859229,928,0.4693218514531754,0.4698275862068966,0.4698275862068966,0.9989235737351991,-0.12273448359387937
GSE276503,CRSNP32,CRSwNP,Nasal_polyp,Surface_club,3,929,0.0004790419161676,928,0.0032292787944025,0.0032327586206896,0.0032327586206896,0.9989235737351991,-5.578651077230046
GSE276503,CRSNP32,CRSwNP,Nasal_polyp,Transitional_secretory,255,929,0.0010042401249721,928,0.2744886975242196,0.2747844827586206,0.2747844827586206,0.9989235737351991,-0.9707492660040515
GSE276503,CRSNP33,CRSwNP,Nasal_polyp,Ambiguous_secretory,92,1334,0.0003524590035928,1331,0.0689655172413793,0.0691209616829451,0.0691209616829451,0.9977511244377811,-2.597672113452404
GSE276503,CRSNP33,CRSwNP,Nasal_polyp,Goblet,9,1334,0.00037397157816,1331,0.0067466266866566,0.0067618332081141,0.0067618332081141,0.9977511244377811,-4.938253227122585
GSE276503,CRSNP33,CRSwNP,Nasal_polyp,Inflammatory_secretory,141,1334,0.000328101930333,1331,0.1056971514242878,0.1059353869271224,0.1059353869271224,0.9977511244377811,-2.1323457286955927
GSE276503,CRSNP33,CRSwNP,Nasal_polyp,Mucous_glandular,0,1334,,1331,0.0,0.0,0.0,0.9977511244377811,-7.889459149404524
GSE276503,CRSNP33,CRSwNP,Nasal_polyp,Serous_glandular,524,1334,0.0003329711061148,1331,0.3928035982008995,0.3936889556724267,0.3936889556724267,0.9977511244377811,-0.43520591333937897
GSE276503,CRSNP33,CRSwNP,Nasal_polyp,Surface_club,1,1334,0.0,1331,0.0007496251874062,0.0007513148009015,0.0007513148009015,0.9977511244377811,-6.790097235513905
GSE276503,CRSNP33,CRSwNP,Nasal_polyp,Transitional_secretory,564,1334,0.0003220004508074,1331,0.4227886056971514,0.4237415477084899,0.4237415477084899,0.9977511244377811,-0.3110992711704538
GSE276503,CRSNP34,CRSwNP,Nasal_polyp,Ambiguous_secretory,106,1321,0.0003063158902478,1320,0.0802422407267221,0.0803030303030303,0.0803030303030303,0.9992429977289932,-2.4347658086066986
GSE276503,CRSNP34,CRSwNP,Nasal_polyp,Goblet,47,1321,0.0004008819402685,1320,0.0355791067373202,0.0356060606060606,0.0356060606060606,0.9992429977289932,-3.2895795127755747
GSE276503,CRSNP34,CRSwNP,Nasal_polyp,Inflammatory_secretory,92,1321,0.0003115637647191,1320,0.0696442089326268,0.0696969696969697,0.0696969696969697,0.9992429977289932,-2.5871542171378676
GSE276503,CRSNP34,CRSwNP,Nasal_polyp,Mucous_glandular,1,1321,0.0004271678769756,1320,0.0007570022710068,0.0007575757575757,0.0007575757575757,0.9992429977289932,-6.780300623629023
GSE276503,CRSNP34,CRSwNP,Nasal_polyp,Serous_glandular,537,1321,0.0003431002538941,1320,0.4065102195306586,0.4068181818181818,0.4068181818181818,0.9992429977289932,-0.3781178121712695
GSE276503,CRSNP34,CRSwNP,Nasal_polyp,Surface_club,3,1321,0.0006410256410256,1320,0.0022710068130204,0.0022727272727272,0.0022727272727272,0.9992429977289932,-5.931487037297973
GSE276503,CRSNP34,CRSwNP,Nasal_polyp,Transitional_secretory,534,1321,0.0003572037887868,1320,0.4042392127176381,0.4045454545454545,0.4045454545454545,0.9992429977289932,-0.38753164023468817
GSE276503,CRSNP35,CRSwNP,Nasal_polyp,Ambiguous_secretory,129,2203,0.0001431024613623,2201,0.0585565138447571,0.0586097228532485,0.0586097228532485,0.9990921470721743,-2.77379455863333
GSE276503,CRSNP35,CRSwNP,Nasal_polyp,Goblet,20,2203,6.530541164177805e-05,2201,0.0090785292782569,0.0090867787369377,0.0090867787369377,0.9990921470721743,-4.6682594867812535
GSE276503,CRSNP35,CRSwNP,Nasal_polyp,Inflammatory_secretory,472,2203,0.0001137760156366,2201,0.2142532909668633,0.214447978191731,0.214447978191731,0.9990921470721743,-1.2987056169086793
GSE276503,CRSNP35,CRSwNP,Nasal_polyp,Mucous_glandular,2,2203,0.000107828337287,2201,0.0009078529278256,0.0009086778736937,0.0009086778736937,0.9990921470721743,-6.780603493321653
GSE276503,CRSNP35,CRSwNP,Nasal_polyp,Serous_glandular,252,2203,0.0001403416927782,2201,0.1143894689060372,0.1144934120854157,0.1144934120854157,0.9990921470721743,-2.044942337905255
GSE276503,CRSNP35,CRSwNP,Nasal_polyp,Surface_club,2,2203,0.0013897467572575,2201,0.0009078529278256,0.0009086778736937,0.0009086778736937,0.9990921470721743,-6.780603493321653
GSE276503,CRSNP35,CRSwNP,Nasal_polyp,Transitional_secretory,1324,2203,0.0001143905526645,2201,0.6009986382206083,0.6015447523852794,0.6015447523852794,0.9990921470721743,0.4094367445345116
GSE276503,CRSNP36,CRSwNP,Nasal_polyp,Ambiguous_secretory,111,1981,0.0001338688085676,1975,0.0560323069156991,0.0562025316455696,0.0562025316455696,0.9969712266532055,-2.8199364628880277
GSE276503,CRSNP36,CRSwNP,Nasal_polyp,Goblet,11,1981,0.0001811781757945,1975,0.00555275113579,0.0055696202531645,0.0055696202531645,0.9969712266532055,-5.143695561265854
GSE276503,CRSNP36,CRSwNP,Nasal_polyp,Inflammatory_secretory,449,1981,0.0001382934587194,1975,0.226653205451792,0.2273417721518987,0.2273417721518987,0.9969712266532055,-1.2265198138986915
GSE276503,CRSNP36,CRSwNP,Nasal_polyp,Mucous_glandular,4,1981,0.0002236616785693,1975,0.0020191822311963,0.0020253164556962,0.0020253164556962,0.9969712266532055,-6.085511302865535
GSE276503,CRSNP36,CRSwNP,Nasal_polyp,Serous_glandular,253,1981,0.0001258494840171,1975,0.1277132761231701,0.1281012658227848,0.1281012658227848,0.9969712266532055,-1.9196454363304412
GSE276503,CRSNP36,CRSwNP,Nasal_polyp,Surface_club,4,1981,0.0002436622961751,1975,0.0020191822311963,0.0020253164556962,0.0020253164556962,0.9969712266532055,-6.085511302865535
GSE276503,CRSNP36,CRSwNP,Nasal_polyp,Transitional_secretory,1143,1981,0.0001453911020645,1975,0.5769813225643614,0.5787341772151898,0.5787341772151898,0.9969712266532055,0.31023443219957214
GSE276503,CRSNP37,CRSwNP,Nasal_polyp,Ambiguous_secretory,176,3295,0.0,3294,0.0534142640364188,0.0534304796599878,0.0534304796599878,0.9996965098634294,-2.87210713517749
GSE276503,CRSNP37,CRSwNP,Nasal_polyp,Goblet,26,3295,0.0,3294,0.0078907435508345,0.00789313904068,0.00789313904068,0.9996965098634294,-4.815247614009154
GSE276503,CRSNP37,CRSwNP,Nasal_polyp,Inflammatory_secretory,755,3295,0.0,3294,0.2291350531107739,0.2292046144505161,0.2292046144505161,0.9996965098634294,-1.2127364093209925
GSE276503,CRSNP37,CRSwNP,Nasal_polyp,Mucous_glandular,2,3295,0.0,3294,0.0006069802731411,0.0006071645415907,0.0006071645415907,0.9996965098634294,-7.183415376206592
GSE276503,CRSNP37,CRSwNP,Nasal_polyp,Serous_glandular,551,3295,0.0,3294,0.1672230652503793,0.1672738312082574,0.1672738312082574,0.9996965098634294,-1.6047123492963868
GSE276503,CRSNP37,CRSwNP,Nasal_polyp,Surface_club,1,3295,0.0,3294,0.0003034901365705,0.0003035822707953,0.0003035822707953,0.9996965098634294,-7.69454458224571
GSE276503,CRSNP37,CRSwNP,Nasal_polyp,Transitional_secretory,1783,3295,0.0,3294,0.541122913505311,0.5412871888281724,0.5412871888281724,0.9996965098634294,0.16481381489394986
GSE276503,CRSNP38,CRSwNP,Nasal_polyp,Ambiguous_secretory,250,5192,0.0,5192,0.048151001540832,0.048151001540832,0.048151001540832,1.0,-2.9821676345198527
GSE276503,CRSNP38,CRSwNP,Nasal_polyp,Goblet,37,5192,0.0,5192,0.0071263482280431,0.0071263482280431,0.0071263482280431,1.0,-4.923478451981633
