dataset,donor,disease,tissue,subtype,column,n_cells,eligible_n10,eligible_n20,eligible_n50
GSE276503,CRSNP33,CRSwNP,Nasal_polyp,Serous_glandular,CRSNP33|CRSwNP|Nasal_polyp|Serous_glandular,524,True,True,True
GSE276503,CRSNP34,CRSwNP,Nasal_polyp,Serous_glandular,CRSNP34|CRSwNP|Nasal_polyp|Serous_glandular,537,True,True,True
GSE276503,CRSNP35,CRSwNP,Nasal_polyp,Serous_glandular,CRSNP35|CRSwNP|Nasal_polyp|Serous_glandular,252,True,True,True
GSE276503,CRSNP36,CRSwNP,Nasal_polyp,Serous_glandular,CRSNP36|CRSwNP|Nasal_polyp|Serous_glandular,253,True,True,True
GSE276503,CRSNP37,CRSwNP,Nasal_polyp,Serous_glandular,CRSNP37|CRSwNP|Nasal_polyp|Serous_glandular,551,True,True,True
GSE276503,CRSNP38,CRSwNP,Nasal_polyp,Serous_glandular,CRSNP38|CRSwNP|Nasal_polyp|Serous_glandular,810,True,True,True
GSE276503,CRSNP39,CRSwNP,Nasal_polyp,Serous_glandular,CRSNP39|CRSwNP|Nasal_polyp|Serous_glandular,113,True,True,True
GSE276503,CRSNP40,CRSwNP,Nasal_polyp,Serous_glandular,CRSNP40|CRSwNP|Nasal_polyp|Serous_glandular,127,True,True,True
GSE276503,CRSNP41,CRSwNP,Nasal_polyp,Serous_glandular,CRSNP41|CRSwNP|Nasal_polyp|Serous_glandular,497,True,True,True
GSE276503,CRSNP42,CRSwNP,Nasal_polyp,Serous_glandular,CRSNP42|CRSwNP|Nasal_polyp|Serous_glandular,531,True,True,True
GSE276503,CRSNP43,CRSwNP,Nasal_polyp,Serous_glandular,CRSNP43|CRSwNP|Nasal_polyp|Serous_glandular,557,True,True,True
GSE276503,CRSNP44,CRSwNP,Nasal_polyp,Serous_glandular,CRSNP44|CRSwNP|Nasal_polyp|Serous_glandular,508,True,True,True
GSE276503,CRSNP45,CRSwNP,Nasal_polyp,Serous_glandular,CRSNP45|CRSwNP|Nasal_polyp|Serous_glandular,537,True,True,True
GSE261706,AR1,AR,Inferior_turbinate,Serous_glandular,AR1|AR|Inferior_turbinate|Serous_glandular,3954,True,True,True
GSE261706,AR2,AR,Inferior_turbinate,Serous_glandular,AR2|AR|Inferior_turbinate|Serous_glandular,1272,True,True,True
GSE261706,CON1,Healthy,Inferior_turbinate,Serous_glandular,CON1|Healthy|Inferior_turbinate|Serous_glandular,677,True,True,True
GSE261706,CON2,Healthy,Inferior_turbinate,Serous_glandular,CON2|Healthy|Inferior_turbinate|Serous_glandular,1850,True,True,True
