cell_min,celltype,n_paired,n_polyp,n_it,rho,p,strong,same_direction_rate
20,Basal,3,15,6,0.0055053981668315485,0.4541665995998385,3126,0.5121561100447857
20,Secretory,4,15,6,0.24469779235519462,3.566885529372365e-250,3179,0.7618748033972947
20,Goblet,3,15,6,0.020838828528890598,0.004605132052135987,2886,0.577962577962578
20,Fibroblast,4,15,6,0.21078356380422475,1.0752196095247352e-184,4525,0.6749171270718232
50,Basal,2,15,6,0.08283926125423699,1.6154552631555105e-29,2854,0.6005606166783461
50,Secretory,2,14,6,0.3087244470056724,0.0,4375,0.808
50,Goblet,2,15,6,0.07386195448713684,8.681970873438827e-24,2765,0.6057866184448463
