group,serous,ecm,serous_residual,ecm_residual,dataset
Healthy_UT,0.7060572894007077,-0.5537708807968673,0.39955075420564834,-0.1699161428486357,GSE36830
Healthy_UT,0.4086833253410007,1.0842945013849692,0.10217679014594139,1.4681492393332007,GSE36830
Healthy_UT,0.2566308406829715,-1.0726981662750337,-0.04987569451208784,-0.6888434283268021,GSE36830
Healthy_UT,0.302371177413013,-0.635424407612495,-0.004135357782046323,-0.25156966966426336,GSE36830
Healthy_UT,-0.08125981108687552,-0.5796980554713532,-0.38776634628193485,-0.19584331752312162,GSE36830
Healthy_UT,0.24655638941953872,-0.5458314189186098,-0.0599501457755206,-0.16197668097037815,GSE36830
CRSsNP_UT,-0.2548481314051745,-1.0271831371123616,-0.4378329532820955,-0.9151203642924631,GSE36830
CRSsNP_UT,-0.008922812228031946,0.39559384099092887,-0.19190763410495293,0.5076566138108274,GSE36830
CRSsNP_UT,1.1188663148865008,-0.5300617445257718,0.9358814930095798,-0.41799897170587336,GSE36830
CRSsNP_UT,0.06771101771472712,-0.08744322521792501,-0.11527380416219385,0.024619547601973463,GSE36830
CRSsNP_UT,0.8322121377549188,-0.5889517256100407,0.6492273158779978,-0.47688895279014226,GSE36830
CRSsNP_UT,-0.6571095954614145,1.1656693545557795,-0.8400944173383355,1.2777321273756779,GSE36830
CRSwNP_UT,0.9669170042073008,-1.015486888926642,0.6683675301998124,-0.7654287523819172,GSE36830
CRSwNP_UT,-0.2359287273847525,-0.6318386218796967,-0.5344782013922408,-0.38178048533497194,GSE36830
CRSwNP_UT,0.509291567800004,-0.7735214329444275,0.21074209379251568,-0.5234632963997028,GSE36830
CRSwNP_UT,0.700801804226482,-0.2208501370321586,0.4022523302189937,0.029207999512566196,GSE36830
CRSwNP_UT,-0.4474648412986422,0.1046971771245179,-0.7460143153061305,0.35475531366924273,GSE36830
CRSwNP_UT,0.2976800364945376,1.0366510843900583,-0.0008694375129506549,1.286709220934783,GSE36830
CRSwNP_NP,-1.0362922007193367,0.9210453860874473,-0.24825136963986816,0.17506973877459242,GSE36830
CRSwNP_NP,-0.677715943237593,0.8239222572092373,0.11032488784187555,0.07794660989638236,GSE36830
CRSwNP_NP,0.08105347308221483,1.012666189078274,0.8690943041616834,0.26669054176541906,GSE36830
CRSwNP_NP,-1.1282806397698133,1.5724924861089158,-0.34023980869034476,0.8265168387960609,GSE36830
CRSwNP_NP,-0.7930234716480474,0.5320535672283998,-0.004982640568578889,-0.21392208008445512,GSE36830
CRSwNP_NP,-1.173986204184236,-0.38632600183514415,-0.3859453731047674,-1.1323016491479991,GSE36830
CRSwNP_NP,0.5391850375248498,0.08360096481444335,1.125154177134727,-0.3786459485265282,GSE136825
CRSwNP_NP,0.06322364274836396,-0.31637960265621984,0.6491927823582414,-0.7786265159971915,GSE136825
CRSwNP_NP,-0.24008113401742243,1.4385400297820725,0.345888005592455,0.976293116441101,GSE136825
