source,target,cor_discovery,cor_validation,is_consensus,consensus_weight
CHRM1,PPP1R1B,0.8584197947080378,0.8325424989499596,True,0.8453821390556705
CHRM1,KCNN4,0.8696135232103197,0.856228498559907,True,0.8628950581071623
CHRM1,MANSC1,0.8141396911793878,0.6561226743294818,True,0.7308731158377618
CHRM1,CCL28,0.7985069958446342,0.7596693930895765,True,0.778846149705495
CHRM1,KCNMA1,0.751377515352105,0.6494181080356632,True,0.6985400235065286
CHRM1,PHLDA1,0.8256475085471939,0.7048572124637048,True,0.7628653887496653
CHRM1,TCN1,0.8561609584904142,0.6307844468311498,True,0.7348829951766491
CHRM1,ATP2A3,0.7978656234071292,0.6840546600007091,True,0.7387717494233369
CHRM1,SLC13A2,0.8202898571623981,0.7863996493407653,True,0.8031660202164285
CHRM1,EGF,0.7863037578497764,0.7774775078813272,True,0.7818781785487856
CHRM1,GALNT6,0.7373041354765654,0.7191787541727234,True,0.7281850517543141
CHRM1,KIAA1324,0.7751424936729052,0.800482150631755,True,0.7877104356179044
CHRM1,NRG3,0.7507671040559544,0.8039034568575409,True,0.7768811171894364
CHRM1,FAHD2A,0.7997161961506408,0.7363768028733374,True,0.7673932862147256
CHRM1,ATP6V0E2,0.7165186315708174,0.7114556137894569,True,0.7139826348138991
CHRM1,SLITRK5,0.7146679913180666,0.8962265293516136,True,0.8003151963430908
CHRM1,SLC5A1,0.7102542204375338,0.7176066943776286,True,0.7139209923345428
CHRM1,ST3GAL6,0.7071678014426748,0.8149332135358713,True,0.7591406516178514
CHRM1,ADGRG2,0.6980058370377801,0.8607582248322256,True,0.7751220969700008
CHRM1,AZGP1,0.8525847554842686,0.5922679507171562,True,0.7106044088966487
CHRM1,MCFD2,0.7266273216150152,0.5231525735653948,True,0.6165524741056717
CHRM1,SLC22A3,0.8103090510883085,0.7095794577334102,True,0.7582734711617678
CHRM1,ANO1,0.7831048172037298,0.6594382996243818,True,0.7186162460482576
CHRM1,CHRM3,0.8239307558534185,0.8941335458710604,True,0.8583147023577308
CHRM1,GALNT13,0.7679135034207308,0.7224932758018222,True,0.7448572632517573
CHRM1,SLC12A2,0.7886823957938157,0.7663047752937139,True,0.7774130730100233
CHRM1,CA2,0.8430666780658519,0.6727464134235609,True,0.7531069538556378
