train_dataset,test_dataset,truth,predicted,fraction
GSE276503,GSE235711,Mucous_glandular,Serous_glandular,0.3282051282051282
GSE276503,GSE235711,Mucous_glandular,Surface_club,0.0
GSE276503,GSE235711,Mucous_glandular,Transitional_secretory,0.2358974358974359
GSE276503,GSE235711,Serous_glandular,Ambiguous_secretory,0.012925541598397962
GSE276503,GSE235711,Serous_glandular,Goblet,0.0009102494083378846
GSE276503,GSE235711,Serous_glandular,Inflammatory_secretory,0.018751137811760424
GSE276503,GSE235711,Serous_glandular,Mucous_glandular,0.0007281995266703076
GSE276503,GSE235711,Serous_glandular,Serous_glandular,0.8918623702894594
GSE276503,GSE235711,Serous_glandular,Surface_club,0.0007281995266703076
GSE276503,GSE235711,Serous_glandular,Transitional_secretory,0.0740943018387038
GSE276503,GSE235711,Surface_club,Ambiguous_secretory,0.09206349206349207
GSE276503,GSE235711,Surface_club,Goblet,0.0
GSE276503,GSE235711,Surface_club,Inflammatory_secretory,0.014285714285714285
GSE276503,GSE235711,Surface_club,Mucous_glandular,0.0
GSE276503,GSE235711,Surface_club,Serous_glandular,0.7746031746031746
GSE276503,GSE235711,Surface_club,Surface_club,0.007936507936507936
GSE276503,GSE235711,Surface_club,Transitional_secretory,0.1111111111111111
GSE276503,GSE235711,Transitional_secretory,Ambiguous_secretory,0.02058066887173833
GSE276503,GSE235711,Transitional_secretory,Goblet,0.0
GSE276503,GSE235711,Transitional_secretory,Inflammatory_secretory,0.016905549430356485
GSE276503,GSE235711,Transitional_secretory,Mucous_glandular,0.0
GSE276503,GSE235711,Transitional_secretory,Serous_glandular,0.03858875413450937
GSE276503,GSE235711,Transitional_secretory,Surface_club,0.0011025358324145535
GSE276503,GSE235711,Transitional_secretory,Transitional_secretory,0.9228224917309813
