dataset,contrast,design,n_a,n_b,median_difference,p
GSE276503,NP_vs_CRSwNP_IT,unpaired,15,6,0.11177428106348347,0.8499926286303995
GSE235711,paired_NP_vs_Ethmoid,paired,4,4,0.10746744438415626,0.625
